Tweet,Keyword
"IED hurled towards Minister Thapa’s vehicle in Dhankuta, no casualties #KathmanduPost ",casualties
Heavy rains inundate dozens of settlements in Kathmandu Valley Police say no human casualties have been reported so far but the flooding caused damage to property.  ,casualties
"Landslide sweeps away 19 houses in Lamjung local unit No human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.  — by Aash Gurung",casualties
"India, China troops clash at Himalayan border, 'casualties on both sides' Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants. ",casualties
No casualties were reported but as many as 17 families are said to be displaced ,casualties
Two mild earthquakes recorded No human casualties have been reported so far. ,casualties
"Taliban forces and fighters loyal to local leader Ahmad Massoud, fought in Afghanistan's Panjshir Valley on Thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting Taliban rule. ",casualties
"Vehicle hits people near London mosque, causing several casualties #KathmanduPost  ",casualties
"After CA, constitutional bodies now all set to become new casualties | Editor's Pick |  ",casualties
"Landslide hits industrial park in S China, casualties likely ",casualties
Two mild earthquakes recorded in Kavre and Achham No human casualties have been reported so far. ,casualties
At least 17 dead in deadliest day of anti-government protests in Peru The latest casualties raised the death toll from anti-government clashes to 39 since the protests began in early December. ,casualties
President saddened over bus accident casualties  ,casualties
"Strong magnitude 7 quake strikes eastern Russia, no casualties  ",casualties
Blast outside Kabul’s military airport causes multiple casualties Local residents said a loud explosion was heard before 8 am in the vicinity of the military side of the heavily fortified airport. ,casualties
"According to the US Labor Department, approximately 300 Nepalis have filed compensation claims for deaths or injuries in the US war zones. However, experts believe the true number of Nepali casualties is far higher.  — by @pitaarji &amp; @janakrasa",casualties
Earthquake measuring 6.8-magnitude strikes Philippines on Saturday morning: USGS No immediate reports of destruction or casualties,casualties
"Nepalis in Lebanon shaken after deadly blast rocks Beirut No casualties reported among Nepalis, honorary consul based in the city says.  — by @CK_Mandal",casualties
OPINION: Incidents &amp; casualties of lightning strikes are increasing in poor countries; many point to climate change ,casualties
[EDITORIAL] Coming to Kathmandu: Training people on ways to be safe in case of earthquake can help reduce casualties ,casualties
Many casualties in New Jersey train crash (In pictures)  ,casualties
"Signs of fighting after Russia says unilateral truce comes into force in Ukraine Rockets slammed into a residential building in the Ukrainian city of Kramatorsk close to the eastern frontline, damaging 14 homes but with no casualties, the mayor said. ",casualties
