Tweet,Keyword
"IED hurled towards Minister Thapa’s vehicle in Dhankuta, no casualties

#KathmanduPost

https://t.co/W431foPl0N",casualties
"Heavy rains inundate dozens of settlements in Kathmandu Valley

Police say no human casualties have been reported so far but the flooding caused damage to property. 

https://t.co/OgNk63LfPV https://t.co/oLf9gmXybn",casualties
"Landslide sweeps away 19 houses in Lamjung local unit

No human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.
https://t.co/3l56xgiL4N — by Aash Gurung",casualties
"India, China troops clash at Himalayan border, 'casualties on both sides'

Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants.

https://t.co/Toq8FYWAix",casualties
"No casualties were reported but as many as 17 families are said to be displaced

https://t.co/dbuMIQi8Xk",casualties
"Two mild earthquakes recorded

No human casualties have been reported so far.

https://t.co/wZUhNPLCN2",casualties
"Taliban forces and fighters loyal to local leader Ahmad Massoud, fought in Afghanistan's Panjshir Valley on Thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting Taliban rule.

https://t.co/bJjKnQg1nW",casualties
"Vehicle hits people near London mosque, causing several casualties

#KathmanduPost

https://t.co/sRiMG0xBXI https://t.co/MaHPgdIzpX",casualties
"After CA, constitutional bodies now all set to become new casualties | Editor's Pick | http://t.co/TrCy0gZ: http://t.co/4QbvrKf",casualties
"Landslide hits industrial park in S China, casualties likely

https://t.co/Jfj4VbhTh3",casualties
"India, China troops clash at Himalayan border, 'casualties on both sides'

Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants.

https://t.co/4izLZlynVp",casualties
"Two mild earthquakes recorded in Kavre and Achham

No human casualties have been reported so far.

https://t.co/GZcpTgceNB",casualties
"At least 17 dead in deadliest day of anti-government protests in Peru

The latest casualties raised the death toll from anti-government clashes to 39 since the protests began in early December.

https://t.co/XJlMzrmXcL",casualties
"President saddened over bus accident casualties

https://t.co/fSDgQZOrwE https://t.co/l4WZrAT9Ln",casualties
"Strong magnitude 7 quake strikes eastern Russia, no casualties

https://t.co/wbMV9YKNAM https://t.co/dgrJJwGbjq",casualties
"Blast outside Kabul’s military airport causes multiple casualties

Local residents said a loud explosion was heard before 8 am in the vicinity of the military side of the heavily fortified airport.

https://t.co/HTVMU15LtE",casualties
"According to the US Labor Department, approximately 300 Nepalis have filed compensation claims for deaths or injuries in the US war zones. However, experts believe the true number of Nepali casualties is far higher.

https://t.co/X5YyUFW5Uj — by @pitaarji &amp; @janakrasa",casualties
"Earthquake measuring 6.8-magnitude strikes Philippines on Saturday morning: USGS

No immediate reports of destruction or casualties",casualties
"Nepalis in Lebanon shaken after deadly blast rocks Beirut

No casualties reported among Nepalis, honorary consul based in the city says. https://t.co/awsFhDMGY0 — by @CK_Mandal",casualties
OPINION: Incidents &amp; casualties of lightning strikes are increasing in poor countries; many point to climate change http://t.co/aGEHZDbCl1,casualties
"[EDITORIAL] Coming to Kathmandu: Training people on ways to be safe in case of earthquake can help reduce casualties
http://t.co/NZe3TXVtyl",casualties
"Many casualties in New Jersey train crash (In pictures)

https://t.co/RDgttzwTPi https://t.co/fsYO3HeeWO",casualties
"Signs of fighting after Russia says unilateral truce comes into force in Ukraine

Rockets slammed into a residential building in the Ukrainian city of Kramatorsk close to the eastern frontline, damaging 14 homes but with no casualties, the mayor said.

https://t.co/BJWO98vv06",casualties
"Ukraine, Russia locked in brutal battle in Bakhmut, casualties mount

Analysts expect a Ukrainian counter-offensive to begin in earnest over April-May when the weather improves and more military aid arrives, including heavy Leopard and Challenger tanks.

https://t.co/FqVWEfk74a",casualties
Kailali and Birgunj have the highest number of protest casualties. http://t.co/6nEdANv8eO http://t.co/tUHVk16gkI,casualties
"Landslide buries 7 houses in Ri village, Dhading

No reports of human casualties

#KathmanduPost

https://t.co/hNimFWoH2m",casualties
"#Breaking: Explosion at kebab shop near mosque in eastern France, no casualties: officials #ParisShooting",casualties
"Businesses become casualties of coronavirus

The pandemic has devastated small and medium firms, robbing thousands of livelihoods.

https://t.co/UXyle1lQTi — by @journoprithvi",casualties
"Major earthquake in Haiti felt across Caribbean, high casualties expected

https://t.co/WuNRLV6oXl",casualties
"Ukraine, Russia say hundreds of enemy troops killed in battle for Bakhmut

Both sides have admitted to suffering and inflicting significant losses in Bakhmut, while the exact number of casualties is difficult to independently verify.

https://t.co/Gm5pTsYLxw",casualties
"Landslide buries 2 trucks, passenger bus,Scorpio jeep along Narayangadh-Mugling road section,no casualties reported

https://t.co/KWNNDH0LWZ",casualties
"Multiple casualties in shooting in Los Angeles: Reports

It was not clear how many people had been injured or killed, or if the suspect was still at large.

https://t.co/UlvlwDRQmy",casualties
"Nepal’s Covid-19 toll reaches 75 with two more deaths; 380 new cases confirmed

According to the Health Ministry, one man from Kaski and a woman from Parsa are the latest casualties.

https://t.co/n3zOG6iJrC",casualties
"Firefighters, army work to douse massive fire in Bangladesh market

No casualties have been reported so far in the fire, which began early on Tuesday, but army personnel had been called in to help contain the rapidly spreading fire.

https://t.co/JY8jDetDU5",casualties
"Aden hotel used by Yemen government hit by missile, casualties feared http://t.co/UrQNq1o7XE http://t.co/P8L7sbGbTh",casualties
"EDITORIAL: Lying with numbers

The government has failed so much as to quantify Covid-19 casualties, let alone humanise them.

https://t.co/lG4FVJbiM6",casualties
"Meanwhile, no casualties have been reported at Far Western Region, the only region without any quake-related deaths. #NepalEarthquake",casualties
"Large explosion near Kabul Airport, casualties feared: Police http://t.co/JMzgVRT1Sj",casualties
"EDITORIAL: Lying with numbers

The government has failed so much as to quantify Covid-19 casualties, let alone humanise them.

https://t.co/ASHmik1P4S",casualties
"Even a year after the Chinese handover of Kalanki-Koteshwor road, the government authorities have not added any road safety infrastructure along the eight-lane expressway to prevent the increasing number of road traffic casualties. https://t.co/y1Yw79ieXb — by @AnupOjha7",casualties
"Businesses become casualties of coronavirus

The pandemic has devastated small and medium firms, robbing thousands of livelihoods.
https://t.co/UXyle14fuI — by @journoprithvi",casualties
"The storm that cut a swathe through Parsa and Bara districts in the evening had left a trail of destruction--particularly in poor neighbourhoods-- and a large number of casualties in its wake.
https://t.co/FWZnSVg9YK",casualties
#Exclusive: Blocked Sunkoshi River bursts decreasing water level by some 12 meters. No casualties reported so far. http://t.co/xJXpI81FEz,casualties
"Nepal reports three more Covid-19-related deaths and 378 new cases

Two men from Parsa and Morang and a woman from Kathmandu became the latest casualties, according to the Health Ministry. https://t.co/G1CgMkSaGC",casualties
"The Eighth National Games judo gold medalists Nisha Chaudhary and Pawan Kumar Shrestha were the big casualties as Nepal Judo Association on Sunday finalised a 14-member team for the 13th South Asian Games. 
https://t.co/DHicOU5YtT — by @PrajwalOli",casualties
"There were at least two explosions near Kabul's airport amid a huge and chaotic evacuation effort from Afghanistan on Thursday, the Pentagon said, with civilians and US service members among the casualties of what was described as a “complex attack.”

https://t.co/Ju8QUMmkjP",casualties
"Simrik Air chopper crashes in Sankhuwasabha

No casualties have been reported in the incident.

https://t.co/Ac3tHESQr4",casualties
"Several people were injured in a shooting at a FedEx facility in Indianapolis, police said early on Friday, without disclosing any casualties and adding that the shooter had taken his own life.

https://t.co/BUXkKe9MUn",casualties
"A fire destroyed 30 houses at Gharbana settlement in Tajakot Rural Municipality-1, Humla, on Friday night. There were no human casualties, said police

#KathmanduPost

https://t.co/TMNwoaPvut",casualties
7-storey building collapses in Kalanki; No casualties reported http://t.co/7KoVa2oJgr,casualties
"Fresh tremor hits country, casualties reported; NA rescue teams flown to Dolakha, Ramechhap http://t.co/8GRb9QqyVN",casualties
"TKP's new column, State of the State: Constitutional Bodies are are all set  to become new casualties after the... http://t.co/NHCKYBi",casualties
"Police said they have retrieved 16 bodies from the accident site. The number of casualties may rise further.

https://t.co/YsnHEeabG7",casualties
"China Eastern Airlines passenger jet has ‘accident’ in Guangxi, state media says

The jet involved in the accident was a Boeing 737 aircraft and the number of casualties was not immediately known, CCTV said. Rescue was on its way, it said.

https://t.co/U4ohpMSiH4",casualties
"Dozens killed in wildlife attacks across the country

Government figures show human-wildlife conflicts and casualties are increasing.

https://t.co/SuHoxUmqRd — by @CK_Mandal",casualties
"Around 27 percent Nepalis indebted due to Covid-19 pandemic: UNICEF report

Twelve percent population reports selling assets, seven percent reduced food for children. Six percent lost their jobs, according to the study. https://t.co/17m8GPG7Gg — by @arjunpoudeltkp",COVID-19
"Nepal logs four new Covid-19 cases

According to the Health Ministry, 966,204 infected people have recovered from the disease so far and the number of active cases stands at 479.

https://t.co/TbFcwmAJDl",COVID-19
"Nepal reports 16 new Covid-19 cases

According to the Health Ministry, 967,002 infected people have recovered from the disease so far and the number of active cases stands at 133.

https://t.co/FTkrztMq0r",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Don’t drop the guard against Covid-19, experts caution after WHO downgrade

The pandemic’s ‘global health emergency’ status may be over, but vulnerable groups in Nepal continue to be at risk.

https://t.co/S37oFfHgWZ — by @arjunpoudeltkp",COVID-19
"Nepal reports 455 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,435.

https://t.co/NDNWkNAfLl",COVID-19
"Next year, NEFTA awards goes to Texas

The award is being organised after a hiatus of two years due to the Covid-19 pandemic. The 10th NEFTA award ceremony was held in Kathmandu in March 2020.

https://t.co/APssdZtbxQ — by Rukusha Giri",COVID-19
"Chinese drugmakers rushed to make anti-fever medicines and other treatments for Covid-19 on Thursday, after President Xi Jinping said he was worried about an influx of holiday travellers to rural areas ill-equipped to deal with sudden outbreaks.

https://t.co/zoYRJNUCn6",COVID-19
"Nepal reports 15 new Covid-19 cases

According to the Health Ministry, 966,593 infected people have recovered from the disease so far and the number of active cases stands at 249.

https://t.co/9lrm4kWhOi",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"OPINION: Applying the Covid-19 blueprint to cholera

We have the tools we need to defeat cholera, but we must still do the research that is required to identify how, when, and where to use them.

https://t.co/3TI5tDmilb — by Md Taufiqul Islam &amp; Firdausi Quadri",COVID-19
"Nepal logs 26 new Covid-19 cases

According to the Health Ministry, 966,111 infected people have recovered from the disease so far and the number of active cases stands at 554.

https://t.co/jCqXmHHhEl",COVID-19
"OPINION: Pandemics and misinformation

Misinformation is a common thread between Covid-19 and HIV/AIDS with deadly consequences.

https://t.co/cZVyQE4FPe — by Cristian Apetrei",COVID-19
"Daraz Summit 2022: Covid-19 accelerated the move to digital financial services

Developing and enforcing clearer guidelines about effective disclosure and pricing transparency could help build trust in the financial system. https://t.co/DoS6peFsXy — by @PrasainKrishana",COVID-19
"Nepal reports 487 new Covid-19 cases

According to the ministry, 979,938 infected people have recovered from the disease so far. The number of active cases stands at 4,298.

https://t.co/SqI1FSjixz",COVID-19
"India asks states to ramp up 
testing as Covid-19 cases climb

Daily new cases have nearly tripled from around 2,000 at the end of March.

https://t.co/cp9iFsY97d",COVID-19
