Tweet,Keyword,tweet_lowercase,tweet_without_stopwords,tweet_stemmed
"IED hurled towards Minister Thapa’s vehicle in Dhankuta, no casualties #KathmanduPost ",casualties,"ied hurled towards minister thapa’s vehicle in dhankuta, no casualties #kathmandupost ","ied hurled towards minister thapa ’ vehicle dhankuta , casualties # kathmandupost","i hurl toward minist thapa ’ vehicl dhankuta , casualti # kathmandupost"
Heavy rains inundate dozens of settlements in Kathmandu Valley Police say no human casualties have been reported so far but the flooding caused damage to property.  ,casualties,heavy rains inundate dozens of settlements in kathmandu valley police say no human casualties have been reported so far but the flooding caused damage to property.  ,heavy rains inundate dozens settlements kathmandu valley police say human casualties reported far flooding caused damage property .,heavi rain inund dozen settlement kathmandu valley polic say human casualti report far flood caus damag properti .
"Landslide sweeps away 19 houses in Lamjung local unit No human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.  — by Aash Gurung",casualties,"landslide sweeps away 19 houses in lamjung local unit no human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.  — by aash gurung","landslide sweeps away 19 houses lamjung local unit human casualties reported disaster , villagers moved safer location previous night . — aash gurung","landslid sweep away 19 hous lamjung local unit human casualti report disast , villag move safer locat previou night . — aash gurung"
"India, China troops clash at Himalayan border, 'casualties on both sides' Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants. ",casualties,"india, china troops clash at himalayan border, 'casualties on both sides' indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed asian giants. ","india , china troops clash himalayan border , 'casualties sides ' indian army says 20 soldiers killed first deaths decades border skirmish nuclear-armed asian giants .","india , china troop clash himalayan border , 'casualti side ' indian armi say 20 soldier kill first death decad border skirmish nuclear-arm asian giant ."
No casualties were reported but as many as 17 families are said to be displaced ,casualties,no casualties were reported but as many as 17 families are said to be displaced ,casualties reported many 17 families said displaced,casualti report mani 17 famili said displac
Two mild earthquakes recorded No human casualties have been reported so far. ,casualties,two mild earthquakes recorded no human casualties have been reported so far. ,two mild earthquakes recorded human casualties reported far .,two mild earthquak record human casualti report far .
"Taliban forces and fighters loyal to local leader Ahmad Massoud, fought in Afghanistan's Panjshir Valley on Thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting Taliban rule. ",casualties,"taliban forces and fighters loyal to local leader ahmad massoud, fought in afghanistan's panjshir valley on thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting taliban rule. ","taliban forces fighters loyal local leader ahmad massoud , fought afghanistan 's panjshir valley thursday , side saying inflicted heavy casualties recent days combat last province resisting taliban rule .","taliban forc fighter loyal local leader ahmad massoud , fought afghanistan 's panjshir valley thursday , side say inflict heavi casualti recent day combat last provinc resist taliban rule ."
"Vehicle hits people near London mosque, causing several casualties #KathmanduPost  ",casualties,"vehicle hits people near london mosque, causing several casualties #kathmandupost  ","vehicle hits people near london mosque , causing several casualties # kathmandupost","vehicl hit peopl near london mosqu , caus sever casualti # kathmandupost"
"After CA, constitutional bodies now all set to become new casualties | Editor's Pick |  ",casualties,"after ca, constitutional bodies now all set to become new casualties | editor's pick |  ","ca , constitutional bodies set become new casualties | editor 's pick |","ca , constitut bodi set becom new casualti | editor 's pick |"
"Landslide hits industrial park in S China, casualties likely ",casualties,"landslide hits industrial park in s china, casualties likely ","landslide hits industrial park china , casualties likely","landslid hit industri park china , casualti like"
Two mild earthquakes recorded in Kavre and Achham No human casualties have been reported so far. ,casualties,two mild earthquakes recorded in kavre and achham no human casualties have been reported so far. ,two mild earthquakes recorded kavre achham human casualties reported far .,two mild earthquak record kavr achham human casualti report far .
