,Date,User,Tweet,Keyword
0,2022-06-15 04:45:00+00:00,kathmandupost,"Around 27 percent Nepalis indebted due to Covid-19 pandemic: UNICEF report

Twelve percent population reports selling assets, seven percent reduced food for children. Six percent lost their jobs, according to the study. https://t.co/17m8GPG7Gg — by @arjunpoudeltkp",COVID-19
1,2022-04-14 11:45:50+00:00,kathmandupost,"Nepal logs four new Covid-19 cases

According to the Health Ministry, 966,204 infected people have recovered from the disease so far and the number of active cases stands at 479.

https://t.co/TbFcwmAJDl",COVID-19
2,2022-05-24 10:56:51+00:00,kathmandupost,"Nepal reports 16 new Covid-19 cases

According to the Health Ministry, 967,002 infected people have recovered from the disease so far and the number of active cases stands at 133.

https://t.co/FTkrztMq0r",COVID-19
3,2022-04-13 09:15:00+00:00,kathmandupost,"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
4,2023-05-07 02:15:00+00:00,kathmandupost,"Don’t drop the guard against Covid-19, experts caution after WHO downgrade

The pandemic’s ‘global health emergency’ status may be over, but vulnerable groups in Nepal continue to be at risk.

https://t.co/S37oFfHgWZ — by @arjunpoudeltkp",COVID-19
5,2022-08-14 13:15:25+00:00,kathmandupost,"Nepal reports 455 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,435.

https://t.co/NDNWkNAfLl",COVID-19
6,2022-12-06 23:45:00+00:00,kathmandupost,"Next year, NEFTA awards goes to Texas

The award is being organised after a hiatus of two years due to the Covid-19 pandemic. The 10th NEFTA award ceremony was held in Kathmandu in March 2020.

https://t.co/APssdZtbxQ — by Rukusha Giri",COVID-19
7,2023-01-19 05:04:25+00:00,kathmandupost,"Chinese drugmakers rushed to make anti-fever medicines and other treatments for Covid-19 on Thursday, after President Xi Jinping said he was worried about an influx of holiday travellers to rural areas ill-equipped to deal with sudden outbreaks.

https://t.co/zoYRJNUCn6",COVID-19
8,2022-04-28 11:38:07+00:00,kathmandupost,"Nepal reports 15 new Covid-19 cases

According to the Health Ministry, 966,593 infected people have recovered from the disease so far and the number of active cases stands at 249.

https://t.co/9lrm4kWhOi",COVID-19
9,2022-04-19 09:45:00+00:00,kathmandupost,"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
10,2022-04-25 07:45:00+00:00,kathmandupost,"OPINION: Applying the Covid-19 blueprint to cholera

We have the tools we need to defeat cholera, but we must still do the research that is required to identify how, when, and where to use them.

https://t.co/3TI5tDmilb — by Md Taufiqul Islam &amp; Firdausi Quadri",COVID-19
11,2022-04-12 11:24:27+00:00,kathmandupost,"Nepal logs 26 new Covid-19 cases

According to the Health Ministry, 966,111 infected people have recovered from the disease so far and the number of active cases stands at 554.

https://t.co/jCqXmHHhEl",COVID-19
12,2022-08-29 07:25:00+00:00,kathmandupost,"OPINION: Pandemics and misinformation

Misinformation is a common thread between Covid-19 and HIV/AIDS with deadly consequences.

https://t.co/cZVyQE4FPe — by Cristian Apetrei",COVID-19
13,2022-07-01 05:15:00+00:00,kathmandupost,"Daraz Summit 2022: Covid-19 accelerated the move to digital financial services

Developing and enforcing clearer guidelines about effective disclosure and pricing transparency could help build trust in the financial system. https://t.co/DoS6peFsXy — by @PrasainKrishana",COVID-19
14,2022-08-24 12:25:00+00:00,kathmandupost,"Nepal reports 487 new Covid-19 cases

According to the ministry, 979,938 infected people have recovered from the disease so far. The number of active cases stands at 4,298.

https://t.co/SqI1FSjixz",COVID-19
15,2023-04-07 12:34:17+00:00,kathmandupost,"India asks states to ramp up 
testing as Covid-19 cases climb

Daily new cases have nearly tripled from around 2,000 at the end of March.

https://t.co/cp9iFsY97d",COVID-19
16,2022-05-25 11:47:48+00:00,kathmandupost,"Nepal reports five new Covid-19 cases

According to the Health Ministry, 967,011 infected people have recovered from the disease so far and the number of active cases stands at 128.

https://t.co/XGDq4uVI7D",COVID-19
17,2022-05-22 11:18:51+00:00,kathmandupost,"Nepal reports six new Covid-19 cases

According to the Health Ministry, 966,975 infected people have recovered from the disease so far and the number of active cases stands at 141.

https://t.co/UkIijkX6ei",COVID-19
18,2022-07-19 11:42:08+00:00,kathmandupost,"Nepal reports 357 new Covid-19 cases

The number of active cases stands at 1,982.

https://t.co/9cNkFhkeY2",COVID-19
19,2022-05-18 11:51:07+00:00,kathmandupost,"Nepal reports six new Covid-19 cases

According to the Health Ministry, 966,929 infected people have recovered from the disease so far and the number of active cases stands at 147.

https://t.co/knQoKr6li0",COVID-19
20,2022-08-15 16:31:25+00:00,kathmandupost,"Pfizer CEO Bourla shows mild symptoms after testing positive for Covid

Bourla, 60, said he had started a course of the company’s oral Covid-19 antiviral treatment, Paxlovid, and was isolating and following all public health precautions.

https://t.co/xyjVgd9PtQ",COVID-19
21,2022-06-10 11:58:06+00:00,kathmandupost,"Nepal reports 17 new Covid-19 cases

The number of active cases stands at 109.

https://t.co/UFJCbj0QgS",COVID-19
22,2022-05-11 11:52:27+00:00,kathmandupost,"Nepal reports 21 new Covid-19 cases

According to the Health Ministry, 966,839 infected people have recovered from the disease so far and the number of active cases stands at 187.

https://t.co/bZ31kI6MaK",COVID-19
23,2022-06-17 11:12:15+00:00,kathmandupost,"Nepal reports 34 new Covid-19 cases

The number of active cases stands at 104.

https://t.co/Z9FK3X6kQ3",COVID-19
24,2022-04-29 11:21:43+00:00,kathmandupost,"Nepal reports 14 new Covid-19 cases

https://t.co/U06uIlsXvB",COVID-19
25,2023-01-31 06:35:00+00:00,kathmandupost,"US to end Covid-19 emergency declarations on May 11

Covid-19 cases are declining in the United States, though more than 500 people continue to die each day from the disease, government data showed.

https://t.co/CqmhVZyLsV",COVID-19
26,2023-02-14 04:15:00+00:00,kathmandupost,"Nepal receives 345,600 doses of Pfizer-BioNTech’s bivalent Covid-19 vaccine

The health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots.

https://t.co/TubkDDUnJo",COVID-19
27,2022-03-31 19:45:00+00:00,kathmandupost,"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
28,2022-09-16 10:43:15+00:00,kathmandupost,"Nepal reports 110 new Covid-19 cases

According to the ministry, 985,103 infected people have recovered from the disease so far. The number of active cases stands at 2,062.

https://t.co/kETKWqcvFu",COVID-19
29,2022-09-12 13:45:00+00:00,kathmandupost,"As dengue becomes endemic to Nepal, infection, mortality risks escalate

Experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by Covid-19.

https://t.co/DYCTDvFHRR — by @arjunpoudeltkp",COVID-19
30,2022-09-12 11:45:30+00:00,kathmandupost,"Nepal reports 179 new Covid-19 cases

According to the ministry, 984,584 infected people have recovered from the disease so far. The number of active cases stands at 2,271.

https://t.co/z52h7ibxqS",COVID-19
31,2022-09-18 11:30:35+00:00,kathmandupost,"Nepal reports 59 new Covid-19 cases

According to the ministry, 985,395 infected people have recovered from the disease so far. The number of active cases stands at 1,830.

https://t.co/gljhygv4ex",COVID-19
32,2022-03-24 09:15:00+00:00,kathmandupost,"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
33,2022-08-11 12:12:51+00:00,kathmandupost,"Nepal reports 815 new Covid-19 cases

Five new deaths were reported in the last 24 hours. Number of active cases stands at 5,869.

https://t.co/4dFO4NGddF",COVID-19
34,2022-09-11 09:55:10+00:00,kathmandupost,"I earned substantial revenue through my own channel so during the Covid-19 pandemic I need not to worry about my livelihood: Suman

#KantipurConclave2022 https://t.co/sda49NfJ9c",COVID-19
35,2022-07-28 11:24:41+00:00,kathmandupost,"Nepal reports 710 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 4,236.

https://t.co/lSOiiyWBND",COVID-19
36,2022-04-26 12:11:35+00:00,kathmandupost,"Nepal logs 10 new Covid-19 cases

According to the Health Ministry, 966,558 infected people have recovered from the disease so far and the number of active cases stands at 261.

https://t.co/QsiPkibDD5",COVID-19
37,2022-03-25 19:45:00+00:00,kathmandupost,"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
