,Date,User,Tweet,Keyword
0,2017-11-24 03:58:00+00:00,kathmandupost,"IED hurled towards Minister Thapa’s vehicle in Dhankuta, no casualties

#KathmanduPost

https://t.co/W431foPl0N",casualties
1,2022-08-10 05:36:43+00:00,kathmandupost,"Heavy rains inundate dozens of settlements in Kathmandu Valley

Police say no human casualties have been reported so far but the flooding caused damage to property. 

https://t.co/OgNk63LfPV https://t.co/oLf9gmXybn",casualties
2,2020-07-23 04:25:00+00:00,kathmandupost,"Landslide sweeps away 19 houses in Lamjung local unit

No human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.
https://t.co/3l56xgiL4N — by Aash Gurung",casualties
3,2020-06-17 02:22:37+00:00,kathmandupost,"India, China troops clash at Himalayan border, 'casualties on both sides'

Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants.

https://t.co/Toq8FYWAix",casualties
4,2017-07-20 06:00:01+00:00,kathmandupost,"No casualties were reported but as many as 17 families are said to be displaced

https://t.co/dbuMIQi8Xk",casualties
5,2023-04-01 08:55:22+00:00,kathmandupost,"Two mild earthquakes recorded

No human casualties have been reported so far.

https://t.co/wZUhNPLCN2",casualties
6,2021-09-02 16:37:24+00:00,kathmandupost,"Taliban forces and fighters loyal to local leader Ahmad Massoud, fought in Afghanistan's Panjshir Valley on Thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting Taliban rule.

https://t.co/bJjKnQg1nW",casualties
7,2017-06-19 04:18:21+00:00,kathmandupost,"Vehicle hits people near London mosque, causing several casualties

#KathmanduPost

https://t.co/sRiMG0xBXI https://t.co/MaHPgdIzpX",casualties
8,2012-07-12 05:51:25+00:00,kathmandupost,"After CA, constitutional bodies now all set to become new casualties | Editor's Pick | http://t.co/TrCy0gZ: http://t.co/4QbvrKf",casualties
9,2015-12-20 07:53:53+00:00,kathmandupost,"Landslide hits industrial park in S China, casualties likely

https://t.co/Jfj4VbhTh3",casualties
10,2020-06-17 16:15:00+00:00,kathmandupost,"India, China troops clash at Himalayan border, 'casualties on both sides'

Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants.

https://t.co/4izLZlynVp",casualties
11,2023-03-05 03:51:11+00:00,kathmandupost,"Two mild earthquakes recorded in Kavre and Achham

No human casualties have been reported so far.

https://t.co/GZcpTgceNB",casualties
12,2023-01-10 06:00:00+00:00,kathmandupost,"At least 17 dead in deadliest day of anti-government protests in Peru

The latest casualties raised the death toll from anti-government clashes to 39 since the protests began in early December.

https://t.co/XJlMzrmXcL",casualties
13,2016-08-26 10:13:55+00:00,kathmandupost,"President saddened over bus accident casualties

https://t.co/fSDgQZOrwE https://t.co/l4WZrAT9Ln",casualties
14,2016-01-30 10:00:22+00:00,kathmandupost,"Strong magnitude 7 quake strikes eastern Russia, no casualties

https://t.co/wbMV9YKNAM https://t.co/dgrJJwGbjq",casualties
15,2023-01-01 07:04:53+00:00,kathmandupost,"Blast outside Kabul’s military airport causes multiple casualties

Local residents said a loud explosion was heard before 8 am in the vicinity of the military side of the heavily fortified airport.

https://t.co/HTVMU15LtE",casualties
16,2020-09-01 02:25:09+00:00,kathmandupost,"According to the US Labor Department, approximately 300 Nepalis have filed compensation claims for deaths or injuries in the US war zones. However, experts believe the true number of Nepali casualties is far higher.

https://t.co/X5YyUFW5Uj — by @pitaarji &amp; @janakrasa",casualties
17,2017-04-29 02:34:14+00:00,kathmandupost,"Earthquake measuring 6.8-magnitude strikes Philippines on Saturday morning: USGS

No immediate reports of destruction or casualties",casualties
18,2020-08-05 17:57:38+00:00,kathmandupost,"Nepalis in Lebanon shaken after deadly blast rocks Beirut

No casualties reported among Nepalis, honorary consul based in the city says. https://t.co/awsFhDMGY0 — by @CK_Mandal",casualties
19,2014-03-21 04:45:05+00:00,kathmandupost,OPINION: Incidents &amp; casualties of lightning strikes are increasing in poor countries; many point to climate change http://t.co/aGEHZDbCl1,casualties
