,Date,User,Tweet,Keyword
0,2022-01-18 07:13:10+00:00,kathmandupost,"Tsunami-hit Tonga islands suffered extensive damage, fears death toll to rise

https://t.co/JErBzPKvJG",death toll
1,2016-04-17 05:01:46+00:00,kathmandupost,"[Update]
#EcuadorEarthquake death toll rises to 41

https://t.co/R5gxvWItQ4 https://t.co/fK5xktU5dB",death toll
2,2016-01-21 12:03:49+00:00,kathmandupost,"The death toll at Rangeli police firing in Morang district has reached three 

https://t.co/vNs4Qn7mgM",death toll
3,2017-08-14 14:11:29+00:00,kathmandupost,"Sunsari #flood death toll climbs to 11, five missing

#KathmanduPost  #Monsoon2017

https://t.co/5UifcrlvAp",death toll
4,2017-11-03 14:07:20+00:00,kathmandupost,"Death toll from Dhading bus accident climbs to 33 with an additional body recovered today

#KathmanduPost 

https://t.co/ItfDbILWEX",death toll
5,2018-07-27 20:45:00+00:00,kathmandupost,"Death toll in Chumlingtar bus-truck collision has reached eight after three persons breathed their last during the course of treatment at the Old Medical College in Bharatpur

#KathmanduPost

https://t.co/rRrIttRQTK",death toll
6,2022-01-22 11:49:34+00:00,kathmandupost,"Nepal reports 10,254 cases as rapid antigen tests added to daily infection tallies

According to the Health Ministry, the countrywide death toll has now reached 11,651 and the number of active cases stands at 72,862.

https://t.co/nDOTmFkdrK",death toll
7,2020-10-17 11:45:21+00:00,kathmandupost,"Nepal reports 12 more Covid-19-related fatalities to take the death toll to 727; national infection tally reaches 129,304 with 3,167 new cases

https://t.co/kbB4uL6zKk",death toll
8,2021-11-26 10:54:15+00:00,kathmandupost,"Nepal reports 242 new Covid-19 cases, two deaths

According to the Health Ministry, the countrywide death toll has now reached 11,518 and the number of active cases stands at 7,287.

https://t.co/oiYBwwESki",death toll
9,2020-10-23 11:28:03+00:00,kathmandupost,"Nepal reports 17 more Covid-19-related fatalities to take the death toll to 829; 4,499 new infections take tally to 153,008

The active case count stands at 46,691 with 105,488 people making successful recovery so far, according to the Health Ministry.

https://t.co/NpjIYoTw79",death toll
10,2023-01-31 08:18:52+00:00,kathmandupost,"Pakistan buries mosque blast victims as death toll passes 90

The mosque is the main place of worship in the district, which houses offices for the police and counter-terrorism unit.

https://t.co/C60EdduMIg",death toll
11,2021-10-08 11:08:11+00:00,kathmandupost,"Nepal reports 715 new Covid-19 cases, 10 deaths

According to the Health Ministry, the countrywide death toll has now reached 11,210 and the number of active cases stands at 15,614.

https://t.co/Nbm1hQojg1",death toll
12,2016-04-12 06:02:41+00:00,kathmandupost,"Update: Death toll in #Khotang bus #accident reaches 20

https://t.co/S2ZytfZZYT https://t.co/zn5ihO7QvJ",death toll
13,2022-02-24 11:31:03+00:00,kathmandupost,"Nepal reports 318 cases as rapid antigen tests added to daily infection tallies

According to the Health Ministry, the countrywide death toll has now reached 11,931 and the number of active cases stands at 9,678.

https://t.co/pf3eDMrBsx",death toll
14,2020-11-08 11:12:31+00:00,kathmandupost,"Nepal reports 21 more Covid-19-related fatalities to take the death toll to 1,108; national tally reaches 194,453 with 2,817 new infections

https://t.co/iDpZ3BmRv6",death toll
