,Date,User,Tweet,Keyword
0,2023-04-27 01:44:49+00:00,kathmandupost,"EDITORIAL: ‘Tuins’ of death

Despite the government’s efforts, it is troubling that ‘tuins’ continue to exist in Nepal, taking more lives.

https://t.co/TYjH4P6P3O",death
1,2023-04-22 21:15:00+00:00,kathmandupost,"Circling the well of death

Daredevils from India, MD Rijwan and Rukshana Khatun perform stunts in a carnival at Bhuikhel, Swayambhu.

https://t.co/SzVxzx0IUI — by 
@Sayami",death
2,2023-04-06 03:15:00+00:00,kathmandupost,"Lumbini fails to curb maternal mortality despite good infrastructure

Lumbini has the highest mortality rate among all seven provinces in the country at 207 deaths per 100,000. https://t.co/9vwQGuqnKy — by @anmol_amrita",death
3,2022-07-01 03:45:00+00:00,kathmandupost,"Eight years after Nepali student Shaan Prajapati’s death, Nainital Chief Judicial Magistrate Court convicts Sherwood College principal Amandeep Sandhu and two others for the death.
https://t.co/GEjjjT0L5g — by @AnupOjha7",death
4,2022-08-15 12:07:53+00:00,kathmandupost,"Nepal reports 888 new Covid-19 cases

One new death was reported in the last 24 hours. Number of active cases stands at 5,387.

https://t.co/LafRdUITrT",death
5,2022-03-02 11:32:52+00:00,kathmandupost,"Nepal logs 127 new Covid-19 cases

According to the Health Ministry, the countrywide death toll has now reached 11,941 and the number of active cases stands at 7,770.

https://t.co/q7fgij3fwa",death
6,2022-05-23 07:22:03+00:00,kathmandupost,"Sri Lankan medicine shortage a death sentence for some, doctors say

https://t.co/Rh31kur4GU",death
7,2023-03-01 01:52:13+00:00,kathmandupost,"EDITORIAL: Dying mothers

Finding why mothers die should be the focus, followed by efforts to prevent the recurrence of these deaths.

https://t.co/5GRoToBwyt",death
8,2022-08-01 10:30:00+00:00,kathmandupost,"Nepal reports 895 new Covid-19 cases

One new death was reported in the last 24 hours. Number of active cases stands at 4,934.

https://t.co/XQFmvT2SCG",death
9,2022-09-10 11:45:00+00:00,kathmandupost,"The Nepalis braving ‘death route’ to reach Europe

Tricked by organised human traffickers, Nepalis who try to land in Greece illegally via Turkey are dying and disappearing in increasing numbers.
https://t.co/5yMKO8SSCL — by @janakrasa",death
10,2022-06-08 04:45:00+00:00,kathmandupost,"Bardiya residents continue protest following death of teenager in clash with police

An 18-year-old girl died of bullet wounds on Monday when police opened fire at protesters seeking protection from wildlife attacks.
https://t.co/sFOscADA5J — by Kamal Panthi",death
