,Date,User,Tweet,Keyword
0,2022-07-10 23:45:00+00:00,kathmandupost,"Locals are first responders during disasters but they are ill-equipped and untrained

https://t.co/MlKQgFJzr1 — by @arjunpoudeltkp",disaster
1,2017-11-02 15:30:03+00:00,kathmandupost,"Kathmandu among 26 cities in South Asia ‘at high risk of disaster’

#KathmanduPost 

https://t.co/rHvVXTqzmh",disaster
2,2020-07-17 13:30:00+00:00,kathmandupost,"With at least 115 people killed and 50 missing in various water-induced disasters between June 13 and July 13, soon after the monsoon arrived in Nepal, it is already turning out to be one of deadliest rainy seasons in the last 11 years. https://t.co/aG8qvQHUxv — by @CK_Mandal",disaster
3,2020-09-03 07:01:50+00:00,kathmandupost,"UPDATE: 11 bodies recovered from flood and landslides site in Baglung

More than 20 people have gone out of contact following the disasters, authorities say. https://t.co/CgfB0700Qv — by Prakash Baral",disaster
4,2018-11-18 02:15:00+00:00,kathmandupost,"#Opinion Better to be prepared: The planned National Disaster Management Authority must be formed without delay, by Suman Kumar Karna 

https://t.co/jI4eraW0fu",disaster
5,2016-10-03 02:47:32+00:00,kathmandupost,"By ignoring air pollution levels, government entities are actively creating a health disaster, by Samik Adhikari

https://t.co/gtk5XksubM https://t.co/6yW3jxWqcb",disaster
6,2021-08-01 05:45:00+00:00,kathmandupost,"New policy allows social organisations to divert up to 15 percent budget to disaster response

https://t.co/CYeDK46DFD — by @journoprithvi",disaster
7,2021-11-09 03:15:00+00:00,kathmandupost,"More than 1,600 houses in Bajura at high risk of water-induced disasters

Residents of the affected settlements have urged authorities to move them to safer locations.

https://t.co/nHwwlUBG3J — by @BajuraShah",disaster
8,2017-05-11 03:30:01+00:00,kathmandupost,"Disaster survivors ask where the leaders were ‘when we were in pain’

https://t.co/hzfZrBmSOw",disaster
9,2020-09-23 17:45:00+00:00,kathmandupost,"972 places in Gandaki Province at risk of monsoon-induced disasters

The study included those places that the administration offices of the respective districts identified as flood/landslide-prone areas.
https://t.co/ZTObJMzmNy — by Pratiksha Kafle",disaster
10,2022-08-22 08:05:15+00:00,kathmandupost,"At least 20 dead in central Afghanistan floods

The Taliban government, which took over the country last August, has struggled to cope with the disasters and has called for assistance.

https://t.co/VTJ3ICLqfx",disaster
11,2021-07-17 04:25:00+00:00,kathmandupost,"Salyan unprepared to tackle monsoon disasters

Around 500 families in the district are vulnerable to monsoon-related disasters this year, authorities say.

https://t.co/pRM8AsTx9T — by Biplab Maharjan",disaster
12,2022-09-27 07:25:00+00:00,kathmandupost,"Recovery taking longer than expected

Pokhara tourism has been trying to bounce back from the Covid-19 disaster. But it has been tough going. https://t.co/Gbbt5k5Ai9 — by @abstractdpak",disaster
13,2020-02-16 20:15:00+00:00,kathmandupost,"OPINION: Disaster, loss, damage and poverty

""Improperly planned infrastructure and unplanned urbanisation are giving an open invitation to disasters."" https://t.co/IXEhFkjRYW — by Kribina Pathak",disaster
14,2016-10-03 16:45:00+00:00,kathmandupost,"By ignoring hazardous air pollution, govt entities are actively creating a public health disaster, by Samik Adhikari
https://t.co/gtk5XkK5Am",disaster
15,2016-05-24 05:15:44+00:00,kathmandupost,"[Editorial]Enact the law:

The Disaster Management Act should be approved without delay

https://t.co/bwrzYfKw1R",disaster
16,2017-05-07 19:15:02+00:00,kathmandupost,"Nepali asylum seekers in Europe

Poverty, natural disasters are not grounds for refugee status | Shubhash Wostey

https://t.co/tKLezOWYNH",disaster
17,2020-08-02 02:22:24+00:00,kathmandupost,"When disasters strike, police are the first responders, but they are severely ill-equipped https://t.co/p83TcRgq1x — by @dhungana_shuvam",disaster
18,2023-01-22 13:15:00+00:00,kathmandupost,"OPINION: Civilians to the rescue

The Yeti crash has once again brought to the fore the need for effective disaster management. https://t.co/ldPTBbdxAa — by Shrijan Bahadur Malla",disaster
19,2023-01-20 06:00:31+00:00,kathmandupost,"The area, which is one of the last remaining slums in the East-Asian nation, has been prone to fires, floods and disasters, with many homes built using cardboard and wood, and residents exposed to safety and health issues.

https://t.co/6pGLaYcTD7",disaster
20,2017-08-17 11:40:34+00:00,kathmandupost,"Monsoon floods: Darnal tries to come to terms with loss of his wife, daughter in the disaster
#KathmanduPost
https://t.co/Q85cWlrN22 https://t.co/3dZbzHLicD",disaster
21,2016-07-05 20:45:04+00:00,kathmandupost,"Parliament committee directs govt to act pronto on disaster management to mitigate risks of landslides and #floods 

https://t.co/vyUC8BJPK2",disaster
22,2020-08-15 03:35:00+00:00,kathmandupost,"Bharatpur dumps waste in Narayani River banks despite having designated land to build a landfill site

Monsoon spells disaster for locals living in riverbank settlements with garbage washed ashore by the overflowing river. https://t.co/uJlLt2tmGs — by Ramesh Kumar Paudel",disaster
23,2018-04-27 03:00:01+00:00,kathmandupost,"#Opinion Local units to the rescue: Depending overly on the security forces for disaster management is not a good idea, by Shrijan Bahadur Malla

#KathmanduPost

https://t.co/neMpus4Xun",disaster
24,2019-06-23 06:35:00+00:00,kathmandupost,"Nepal should promote the inclusion of people with disabilities in disaster management. #Opinion
https://t.co/4dZ5s4P5uu — by Sudarshan Neupane",disaster
25,2017-11-02 07:30:01+00:00,kathmandupost,"Kathmandu among 26 cities in South Asia ‘at high risk of disaster’

#KathmanduPost

https://t.co/rHvVXTIaKR",disaster
26,2017-04-25 02:45:00+00:00,kathmandupost,"In a way, disasters are opportunities to shake things from the core, by Ramu Kharel

https://t.co/hrhzHi7eaA",disaster
27,2017-03-27 04:30:00+00:00,kathmandupost,"Landslide-hit return to live in disaster-prone site 

https://t.co/VShV41mQjV",disaster
28,2022-07-21 21:45:00+00:00,kathmandupost,"OPINION: The world needs a digital lifeline

Now is the time to work on digital connectivity for all—before the next disaster hits.
https://t.co/hugbb018Pm — by @riccardopuliti",disaster
29,2021-03-29 23:49:00+00:00,kathmandupost,"Flood-displaced families in Myagdi await relocation

It’s been almost a year since the disaster but the displaced families are still living in temporary huts.
https://t.co/cHMPG7PJtB — by Ghanashyam Khadka",disaster
30,2016-06-24 16:15:06+00:00,kathmandupost,"Govt response to natural disasters is usually slow and poorly coordinated

https://t.co/Wc9TQVibDq https://t.co/n42qSGZopL",disaster
