,Date,User,Tweet,Keyword
0,2016-04-28 22:45:04+00:00,kathmandupost,"Humla drought: Winter crops wilt in 5,020 hectares of 8,618 hectares farmland

https://t.co/C9sLJI5z0q https://t.co/Ieu3ox9RM4",drought
1,2019-08-26 06:40:00+00:00,kathmandupost,"Having ended a 23-year South Asian Games gold medal drought in India in 2016, Nepal now prepare to defend the men's football title when the country plays host to the biennial meet on December 1-10.
https://t.co/37Bo40f3ME — by @PrajwalOli",drought
2,2016-04-05 05:10:07+00:00,kathmandupost,Drought takes toll on Bajhang https://t.co/tla8X8fwDP https://t.co/NPWc3Jtucb,drought
3,2016-02-16 05:40:05+00:00,kathmandupost,"Phupu Lhamu Khatri breaks gold drought in judo
https://t.co/EXpU9mrlls https://t.co/kZKJtSYMJ4",drought
4,2018-03-30 23:15:00+00:00,kathmandupost,"Long winter drought hits Ilam’s tea crops

#KathmanduPost

https://t.co/O0NHA50BUO https://t.co/ViuIawUbDe",drought
5,2021-03-27 01:40:53+00:00,kathmandupost,"Haze and smoke turn Kathmandu most polluted, low visibility affects flights

Unprecedented fires after prolonged drought across the country and winds partly responsible, meteorologists say.
https://t.co/ej2KTl9jB6 — by @CK_Mandal",drought
6,2021-04-27 15:45:00+00:00,kathmandupost,"Wheat harvest likely to be less due to long dry winter

The drought is expected to have lessened the yield by 8 percent to 2.09 million tonnes, officials said.

https://t.co/l4bimg3pr0 — by @sangamprasai",drought
7,2020-11-21 00:45:00+00:00,kathmandupost,"Apple farmers in Karnali province hit by crop failure

Drought during the flowering period and hailstorm during the fruit-bearing period affected output, farmers say.

https://t.co/vehNKITWD0 — by Tularam Pandey",drought
8,2016-05-06 04:45:39+00:00,kathmandupost,"Western region farmers likely to suffer crop losses amounting to Rs2.81bn due to #drought

https://t.co/6oGbw3XaqB https://t.co/xQA7lb1OH7",drought
9,2021-09-21 14:15:00+00:00,kathmandupost,"Australia has lost about 30 percent of its koalas over the past three years, hit by drought, bushfires and developers cutting down trees, the Australian Koala Foundation said, urging the government to do more to protect the creature's habitat.

https://t.co/2NoFpYnLbz",drought
10,2021-06-03 17:15:00+00:00,kathmandupost,"Pre-monsoon rains came late but were abundant to end months-long drought

Cyclones Tauktae and Yaas helped the country meet its pre-monsoon rainfall, meteorologists say.
https://t.co/gmHiUU9YVF — by @CK_Mandal",drought
11,2016-05-31 04:10:09+00:00,kathmandupost,"Govt should declare Karnali as a drought-prone area and adopt policies suitable for the region, by Geeta Pandey 

https://t.co/9hY2r00Bax",drought
12,2016-04-28 05:45:04+00:00,kathmandupost,"Winter crops wilt in farms as Humla faces acute #drought; #Watersources dry up in Jajarkot

https://t.co/C9sLJI5z0q https://t.co/MLUpRui6xa",drought
13,2016-02-05 11:30:15+00:00,kathmandupost,"#Zimbabwe Prez Mugabe declares drought disaster

https://t.co/gVJQqbDTAk https://t.co/TsJ9JOVIIg",drought
14,2021-06-03 04:15:00+00:00,kathmandupost,"Pre-monsoon rains came late but were abundant to end months-long drought

Cyclones Tauktae and Yaas helped the country meet its pre-monsoon rainfall, meteorologists say.
https://t.co/kxuD04hslb — by @CK_Mandal",drought
15,2016-05-12 06:46:02+00:00,kathmandupost,"#Drought leads to school closure in #Rolpa

https://t.co/OhdUzpxSrd",drought
16,2016-04-30 04:45:07+00:00,kathmandupost,"Lamjung village in dark as drought hits hydro plant

https://t.co/DyMY6XFWl5 https://t.co/I8y5jvdtRk",drought
17,2016-05-26 04:25:07+00:00,kathmandupost,"Nepal Food Corporation seeks additional money to supply #food to #drought-hit districts

https://t.co/H9R63NSkWX https://t.co/TqD0yO1Elv",drought
18,2021-03-05 19:25:00+00:00,kathmandupost,"Nepal witnessed a significant drought this winter with the total rainfall falling short by 75 percent of the normal average for the season.

https://t.co/5bV7181TmA — by @CK_Mandal",drought
19,2016-09-03 02:57:09+00:00,kathmandupost,"NRB to import greenbacks to beat dollar drought

https://t.co/AmqPfdWHUs https://t.co/pYXL1gzNsv",drought
20,2021-10-31 08:45:00+00:00,kathmandupost,"Blaming climate change, Turkish farmers count the cost of drought

Besides the lingering drought, Turkey was hit by flash floods in its Black Sea region and massive wildfires in southern regions during the summer.

https://t.co/N579OVkJCo",drought
