,Date,User,Tweet,Keyword
0,2022-03-20 05:00:00+00:00,kathmandupost,"Quake-damaged schools finally rebuilt in Baglung local unit

Half a dozen schools had been conducting classes out in the open since the earthquakes damaged their buildings.

https://t.co/h6kPuGeRY0 — by Prakash Baral",earthquake
1,2018-12-27 07:30:00+00:00,kathmandupost,"Rebuilding Nepal, a photo exhibition is showcasing the reconstruction process after the 2015 earthquake

https://t.co/3vpLhS9Rm4",earthquake
2,2018-06-18 13:45:00+00:00,kathmandupost,"Around 10 per cent of the earthquake hit households in Sindhupalchowk district, which suffered the most from the Gorkha earthquake have not built their houses yet

#KathmanduPost

https://t.co/RT0l7YA8Qd",earthquake
3,2020-12-05 03:26:34+00:00,kathmandupost,"Quake survivors say houses handed over by NRNA have weak doors and windows

Only 16 families have moved to the new settlement built for 573 earthquake-displaced families in Gupsipakha, Gorkha, till date.

https://t.co/f1636vv9cr — by Hariram Upreti",earthquake
4,2018-10-03 13:32:04+00:00,kathmandupost,"The Supreme Court has issued an interim order directing the Kathmandu Metropolitan City (KMC) to not demolish historic Bag Durbar that suffered damage in the earthquake of April 25, 2015.

https://t.co/kvlJszL0ML https://t.co/6ZBk4tWSIt",earthquake
5,2017-07-24 08:54:24+00:00,kathmandupost,"The tremor measuring 4 on the Richter scale was the aftershock of 2015 earthquake: National Seismological Centre

https://t.co/YImtlE1U3j",earthquake
6,2023-02-25 04:30:00+00:00,kathmandupost,"More than 160,000 buildings containing 520,000 apartments collapsed or were severely damaged in the February 6 earthquakes that killed tens of thousands in Turkey and neighbouring Syria.

https://t.co/BDgHbpNjZ3",earthquake
7,2018-09-27 04:35:00+00:00,kathmandupost,"Kathmandu Metropolitan City (KMC) is all set to start the reconstruction of Rani Pokhari that was ravaged by the earthquake on April 25, 2015

https://t.co/jnWe751Tu0",earthquake
8,2018-05-27 22:45:00+00:00,kathmandupost,"Thirty-nine health facilities, which were destroyed in the Gorkha Earthquake, have been handed over to the District Health Office in Dhading district after reconstruction

#KathmanduPost

https://t.co/IjA1idhyhK",earthquake
9,2022-03-26 07:15:00+00:00,kathmandupost,"A jet plane flies in the sky as men work on scaffolding for the restoration of Patan Museum in Lalitpur on Friday. The museum was among the many historical buildings damaged by the 2015 earthquakes.

Photo by: @Thapakeshav7 https://t.co/jUXJzplACH",earthquake
10,2018-09-22 07:45:00+00:00,kathmandupost,"The National Reconstruction Authority (NRA) has said that it would take the initiative at the national and international levels to manage the financial requirement to complete the post-earthquake reconstruction.

https://t.co/evGGQ0NhWi",earthquake
11,2019-03-19 06:10:00+00:00,kathmandupost,"Engineers deployed by the National Reconstruction Authority in the earthquake-affected Gorkha district have started a protest demanding additional allowances and facilities.
https://t.co/70gHREnUCq",earthquake
12,2018-08-09 05:15:00+00:00,kathmandupost,"National Reconstruction Authority has said that reconstruction of 37.19 percent private homes damaged by the earthquake on April 21, 2015 is complete as on Tuesday

https://t.co/mpFTGGN98m",earthquake
13,2023-02-06 12:42:58+00:00,kathmandupost,"UPDATE: More than 1,400 people were killed and thousands injured on Monday when a huge earthquake struck central Turkey and northwest Syria, pulversing apartment blocks and heaping more destruction on Syrian cities already devastated by years of war.

https://t.co/epNyuG44ki",earthquake
14,2019-05-05 23:15:00+00:00,kathmandupost,"The reconstruction process is stymied by lack of reliable data on earthquake survivors. #Opinion
https://t.co/FQNZuLjTH8 — by  Prakash Budha Magar",earthquake
15,2018-04-24 14:38:32+00:00,kathmandupost,"Survivor of April 25, 2015 earthquake, Rajeshwori Kapali, 38, busy with household chores in a makeshift house on the bank of Hanumante River in Bhaktapur. She has been living at the shelter with her husband and 3 children after the quake destroyed her house. 
PHOTO: @Anish_PJ https://t.co/j0kG0X9XUU",earthquake
16,2023-05-17 06:55:00+00:00,kathmandupost,"Idols of deities amid the ruins of Jagat Narayan Temple that was damaged in the 2015 earthquakes, at Shankhamul in Lalitpur on Monday.

Photo by: @dpak_kc https://t.co/hyeKPGFfrM",earthquake
17,2019-06-05 05:07:00+00:00,kathmandupost,"Police on Tuesday arrested a self-proclaimed astrologer for terrorising the public by spreading rumours about a possible earthquake

https://t.co/iZUDEI0Ikm —by @nayak_paudel",earthquake
18,2017-08-06 15:15:01+00:00,kathmandupost,"Workers rebuild Vatsala Durga Temple that was damaged by the #earthquake in 2015 at Bhaktapur Durbar square on Sunday.

Photo: @Thapakeshav7 https://t.co/0a8wSyTkxX",earthquake
19,2017-04-22 03:35:01+00:00,kathmandupost,"The earthquakes, many assumed, were a death knell for high-rise apartments of the Capital - Aagat Ruchi Sapkota 

https://t.co/8vWVD85nqC",earthquake
20,2017-03-16 07:55:01+00:00,kathmandupost,"Photobook on Nepal Earthquake Endurance up for release

https://t.co/2DNCwD3w97 https://t.co/MBY942mTcd",earthquake
21,2019-02-20 03:20:00+00:00,kathmandupost,"#Opinion Schools must have clear earthquake response plans, by Dronashish Neupane

https://t.co/hVTNMbX9Ul",earthquake
22,2020-03-18 09:15:00+00:00,kathmandupost,The relief materials that were donated during the 2015 Gorkha earthquakes are rotting away in a godown in Ramechhap district. https://t.co/xmfTYen9Ih — by Tika Prasad Bhatta,earthquake
23,2021-05-19 05:45:00+00:00,kathmandupost,"UPDATE: Earthquake in Lamjung damages over dozen houses, six injured

A 5.8 magnitude quake with epicentre at Marshyangdi Rural Municipality hit the district early Wednesday morning. https://t.co/kj6ouWkFm4 — by Aash Gurung",earthquake
24,2019-04-14 08:15:00+00:00,kathmandupost,"Dordi Rural Municipality in Lamjung has handed over 27 earthquake-resistant houses for families with disabilities and helpless people in nine wards

https://t.co/LSz6zW88MY https://t.co/XLykV9jyk2",earthquake
25,2022-07-16 08:30:00+00:00,kathmandupost,"A view of the decrepit swimming pool at Dashrath Stadium, which was damaged in the 2015 earthquakes, taken on Friday.

Photo by: @AngadDhakal https://t.co/s5KWD1jkcn",earthquake
26,2023-01-24 09:41:49+00:00,kathmandupost,"5.9 M earthquake with epicentre in Bajura recorded

The quake with an epicentre in Mela of Bajura district struck at 2:43pm, according to National Earthquake Monitoring and Research Centre.

https://t.co/WfesJCYvCk",earthquake
27,2023-01-27 00:15:00+00:00,kathmandupost,"Victims of last November’s Doti earthquake spend cold winter months under flimsy tarp

Thirty-four people from eight families have been living under one tarpaulin tent in Uparkada. 

https://t.co/DscotglUxf — by Mohan Shahi",earthquake
28,2020-10-23 20:15:00+00:00,kathmandupost,EDITORIAL: The post-earthquake reconstruction has been too little and too late. https://t.co/ngngBMQwz1,earthquake
29,2018-12-06 03:20:00+00:00,kathmandupost,"New concrete houses are being built despite government assessment reports of increased landslide and flood risks in this idyllic hub devastated by the earthquake of April 25, 2015

https://t.co/oc7gRgQi5C",earthquake
30,2020-10-22 03:12:00+00:00,kathmandupost,"Iconic Ranipokhari restored and inaugurated

After the 2015 earthquake, Nepal’s reconstruction campaign had started from the historic pond in 2016. https://t.co/kvltdpLwCo — by @AnupOjha7",earthquake
31,2019-08-16 08:05:00+00:00,kathmandupost,"Seventeen land tiller families of Sungbucha settlement in Bhimeshwor Municipality, Dolakha, are facing difficulties in establishing the ownership of the houses they rebuilt after the 2015 earthquake for lack of land ownership certificates. 
https://t.co/2DmAfS3W2P",earthquake
32,2018-02-25 19:15:00+00:00,kathmandupost,"#Opinion Distress: Post earthquake studies have exposed Nepal’s lack of focus on mental health issues, by Dr Patrice Moulton

#KathmanduPost

https://t.co/cuRu8xXvdR",earthquake
33,2021-01-30 06:23:00+00:00,kathmandupost,"Private houses damaged beyond repair by monsoon-related disasters last year will be built under a modality similar to the one adopted to rebuild houses lost to the devastating 2015 earthquake, officials said. https://t.co/1HhgGv5zWq — by @CK_Mandal",earthquake
34,2019-04-05 06:55:00+00:00,kathmandupost,"Technicians deployed to Ramechhap by National Reconstruction Authority to oversee the post-earthquake reconstruction works are on a strike for the past one month and their protest has affected the families awaiting government’s aid to build their homes

https://t.co/GbBxNglT0K",earthquake
35,2018-02-25 03:46:00+00:00,kathmandupost,"Post earthquake studies have exposed Nepal’s lack of focus on mental health issues, by Dr Patrice Moulton 
#KathmanduPost #Opinion
https://t.co/cuRu8xXvdR",earthquake
36,2018-08-19 05:20:00+00:00,kathmandupost,"Gorkha Earthquake victims loan issue: Government backs earthquake survivors while Nepal Rastra Bank wants to stop concessional loans

https://t.co/IXjPtaQAMA",earthquake
37,2018-08-02 05:45:00+00:00,kathmandupost,"Multiple ownership of land has delayed construction of private houses of Gorkha Earthquake victims recently registered as beneficiaries of reconstruction grants

#KathmanduPost

https://t.co/gXFZYa0h4S",earthquake
38,2020-04-25 02:50:00+00:00,kathmandupost,"Five years after earthquake schools and health centres await reconstruction

The tenure of the national reconstruction authority likely to be extended by at least one year.

https://t.co/hXFJu0jeuR — by @binodjourno",earthquake
39,2018-12-23 07:05:00+00:00,kathmandupost,"Magnitude 4.7 earthquake strikes Sindhupalchok, tremor felt in Capital

https://t.co/0W6N3inMRh",earthquake
40,2018-05-13 17:45:00+00:00,kathmandupost,"The government has sought India’s approval to transfer additional amount from Indian line of credit for reconstruction and distributing housing grants to families affected by the earthquake

#KathmanduPost

https://t.co/omszYH3RtD",earthquake
