,Date,User,Tweet,Keyword
0,2020-02-01 03:40:00+00:00,kathmandupost,"WHO declares public health emergency as coronavirus spreads, but there are questions over first—and only—case in Nepal https://t.co/aVZH7I4cIB — by @arjunpoudeltkp",emergency
1,2020-01-23 03:41:48+00:00,kathmandupost,"A mysterious new virus, first reported in the Chinese city of Wuhan, has emerged as a major public health emergency.

What do we know about the new strain of coronavirus, and should we be worried? https://t.co/32ZU5l5slP — by @theshailen",emergency
2,2015-09-07 02:55:05+00:00,kathmandupost,Three senior officials dragged to court for misusing millions during supply of emergency logistics http://t.co/7xnMiZTp8f,emergency
3,2021-09-23 06:45:00+00:00,kathmandupost,"Viral fever cases on rise in Kanchanpur

Around 40 children suffering from high fever, common cold, cough and pneumonia are visiting the emergency unit of Mahakali Provincial Hospital on a daily basis, health workers say.
https://t.co/CA2nXXfTop — by Bhawani Bhatta",emergency
4,2020-07-03 07:22:00+00:00,kathmandupost,"Ride sharing app start limited services in Kathmandu

Company says it’s only for emergency use, traffic police say riders will be punished if caught

https://t.co/rgEIIA41BK — by @AnupOjha7",emergency
5,2020-11-29 11:27:52+00:00,kathmandupost,"Kailash Helicopter’s chopper makes emergency landing after bird strike

The helicopter's windshield has been damaged and passengers suffered minor injuries due to the impact.

https://t.co/ETvUTKKdHM",emergency
6,2019-08-04 05:07:00+00:00,kathmandupost,"Health Emergency Operation Centre lacks funds for emergency situations

https://t.co/VS2ibhUgTo — by @arjunpoudeltkp",emergency
7,2016-04-09 04:15:07+00:00,kathmandupost,"Buddha Air emergency landing: There was no problem with the engine, but the indicator had certain problem

https://t.co/mZWy0GrV5v",emergency
8,2019-09-19 03:55:00+00:00,kathmandupost,"Even as doctors call for urgent action, Health Minister Upendra Yadav says no need to declare health emergency and flies to the US. https://t.co/Jtw5y6ile7 — by @binodjourno",emergency
9,2017-10-16 03:11:01+00:00,kathmandupost,"Dr KC may need emergency care as his health declines: Docs
#KathmanduPost
https://t.co/8pZYhr0B57 https://t.co/mAWf5JfV8Q",emergency
10,2017-08-14 02:45:01+00:00,kathmandupost,"Kantipur Foundation sets up emergency relief fund

#KathmanduPost

https://t.co/etTiPItIX0",emergency
11,2015-04-26 03:09:54+00:00,kathmandupost,"Canada announces $ 5 million for emergency relief programmes; Russia to sent a rescue team, to land later on today. #NepalEarthquake #Nepal",emergency
12,2023-04-22 10:21:16+00:00,kathmandupost,"Two people killed, 10 hurt in Madrid restaurant blaze

Diners struggled to flee as the blaze started near the main exit, emergency services said.

https://t.co/eObVlipmwM",emergency
13,2016-09-30 08:15:01+00:00,kathmandupost,"Charikot Hospital shuts down emergency service as well

https://t.co/F7LfWONaRC https://t.co/25GzwGZtTS",emergency
14,2022-01-15 02:00:00+00:00,kathmandupost,"Bardibas Hospital starts providing maternity services

The hospital has also launched laboratory, outpatient and 24-hour emergency services.

https://t.co/EPCUUtDHVd — by Sunita Baral",emergency
15,2023-04-24 16:38:52+00:00,kathmandupost,"UPDATE: Fly Dubai aircraft heads to destination with indicators reported normal

The aircraft had declared an emergency soon after taking off from Tribhuvan International Airport.

https://t.co/iutLznD2Lu",emergency
16,2015-06-02 05:09:27+00:00,kathmandupost,"Goma Air aircraft makes emergency landing without nose gear, all 18 passengers safe
http://t.co/TA5QxAjPHB http://t.co/jjeIeWWWLp",emergency
