,Date,User,Tweet,Keyword
0,2019-09-15 17:15:00+00:00,kathmandupost,"Even as dengue continues to spread across the country, officials at the Ministry of Health and Population are reluctant to accept that the epidemic has gone out of control. https://t.co/ViuVt8T9l3 — by @arjunpoudeltkp",epidemic
1,2017-05-09 09:00:01+00:00,kathmandupost,"A cholera epidemic in Musahar settlement in Kachanari of Bariyarpatti Village Council of Siraha has claimed a girl

https://t.co/XVHm9JBDOx",epidemic
2,2022-06-17 19:45:00+00:00,kathmandupost,"OPINION: A ‘silent epidemic on wheels’

Around 1.35 million people die each year on the world’s roads every 25 seconds.

https://t.co/1GZclTAn15 — by @johnrennieshort",epidemic
3,2019-06-11 03:45:00+00:00,kathmandupost,"The provincial government on Monday allocated a budget of Rs8 million to contain dengue epidemic in Dharan.
https://t.co/FQjBJ1AWQ4 — by Pradeep Menyangbo",epidemic
4,2019-09-09 14:22:10+00:00,kathmandupost,"The dengue fever outbreak is nearing epidemic levels, with over 8,000 people in 56 districts hospitalised this season alone. https://t.co/hg3KSAjvfY — by @arjunpoudeltkp",epidemic
5,2022-09-19 06:25:00+00:00,kathmandupost,"Government set to declare a dengue epidemic

At least 20 people have died and over 16,500 infected with the disease. Of the dead, 75 percent are under the age of 40.

https://t.co/cZLOfokgFA — by @arjunpoudeltkp",epidemic
6,2016-12-06 04:50:00+00:00,kathmandupost,"With strong political commitment, the target of ending AIDS epidemic by 2030 is attainable, by Jhabindra Bhandari

https://t.co/GrCvyy1LXo",epidemic
7,2020-11-19 19:15:00+00:00,kathmandupost,"Rising tuberculosis cases could soon lead to an epidemic, experts say

They warn that misdiagnosis and under-reporting of TB cases could spread the infection further.
https://t.co/0dU7VGocXd — by @arjunpoudeltkp",epidemic
8,2018-08-15 07:35:00+00:00,kathmandupost,"Thula Chiuda residents have appealed to the authorities to take immediate steps to contain the epidemic

https://t.co/DHDuv48Cqq",epidemic
9,2021-05-06 01:46:42+00:00,kathmandupost,"EDITORIAL: Silent epidemic

Psychiatrists warn the second wave could be more severe for mental health.

https://t.co/SO37BzQW2V",epidemic
10,2020-04-07 16:05:00+00:00,kathmandupost,"The country’s principal opposition party, the Nepali Congress, has failed to put up a unified front against the government’s handling of the crisis in the face of the Covid-19 epidemic. https://t.co/T80HzRmPNF — by @anilkathmandu",epidemic
11,2020-03-10 06:20:00+00:00,kathmandupost,"Chinese President Xi Jinping visited Wuhan, the epicenter of the coronavirus outbreak, on Tuesday, marking the first time he has done so since the epidemic began late last year.
https://t.co/wJQ4sWRZV3",epidemic
12,2014-08-12 06:01:01+00:00,kathmandupost,"[Development] Preventing epidemic in times of calamities
http://t.co/SZyJ6XjBxH http://t.co/HOdMbvdFZm",epidemic
13,2015-04-22 02:55:05+00:00,kathmandupost,"2 more succumb to epidemic, 26 die so far http://t.co/6KaiLtaxNa http://t.co/UwQlHB8fr3",epidemic
14,2023-05-09 03:15:00+00:00,kathmandupost,"Uterine prolapse epidemic in Bajhang worsened by poverty and lack of treatment

In Thalara Rural Municipality alone, over 200 women suffer from the condition.

https://t.co/WFCkwMVvpb — by @bajhangimitra",epidemic
15,2023-04-09 02:15:00+00:00,kathmandupost,"OPINION: The epidemic of misgovernance

At the core of our national suffering is political mismanagement.

https://t.co/ikdrYPK0ij — by @GuragainMohan",epidemic
16,2018-12-13 02:35:00+00:00,kathmandupost,"#Editorial Watch your words: Online harassment is an epidemic that needs to be addressed more seriously

https://t.co/7Txyuj9O1p",epidemic
17,2018-10-01 09:55:00+00:00,kathmandupost,"The National Public Health Laboratory confirmed that the diarrhoea epidemic in Nainhi Village of Jaleshwor Municipality-12, Mahottari, was caused due to coliform and E coli bacteria in drinking water.

https://t.co/tTj9caBdzy",epidemic
18,2015-04-18 03:17:35+00:00,kathmandupost,Jajarkot epidemic: Death toll reaches 21 http://t.co/iftXQLdCJi http://t.co/XSZkbbf43n,epidemic
19,2019-06-11 15:45:00+00:00,kathmandupost,"The federal and provincial governments had been criticised for not taking concrete initiatives to control dengue even after the disease turned into an epidemic.

https://t.co/FQjBJ1AWQ4 — by Pradeep Menyangbo",epidemic
20,2020-08-10 08:30:00+00:00,kathmandupost,"OPINION: Why do HIV vaccine trials keep failing?

More comprehensive research would enable scientists to identify approaches to the AIDS epidemic. https://t.co/HLA2bSnc24 — by Denis Chopera",epidemic
21,2017-08-13 14:00:00+00:00,kathmandupost,"Health experts warn of epidemic in flood-affected areas

#KathmanduPost 

https://t.co/Sya3v72XX0",epidemic
22,2022-09-19 21:15:00+00:00,kathmandupost,"Government set to declare a dengue epidemic

At least 20 people have died and over 16,500 infected with the disease. Of the dead, 75 percent are under the age of 40.

https://t.co/j6x4917m82 — by @arjunpoudeltkp",epidemic
23,2014-06-03 03:31:18+00:00,kathmandupost,"OPINION--The epidemic of early marriage stems from disinterest towards investing in girls, by Avinashi Paudel http://t.co/jk5gncmHHq",epidemic
24,2015-04-21 02:57:54+00:00,kathmandupost,More medics to fight epidemic in Jajarkot http://t.co/t4OM01PTc7,epidemic
25,2019-06-06 00:15:00+00:00,kathmandupost,"In a bid to contain a dengue epidemic in Dharan Sub-metropolitan City-15, agencies concerned under the Ministry of Health and Population decided to launch a mosquito search and destroy campaign on Wednesday — by @arjunpoudeltkp 

https://t.co/QxkoCHb3nT",epidemic
26,2019-06-12 04:43:00+00:00,kathmandupost,"Authorities under the Ministry of Health and Population are not prepared to deal with climate-induced epidemic 

https://t.co/gFuLiZUZbB — by @arjunpoudeltkp",epidemic
