,Date,User,Tweet,Keyword
0,2021-08-24 06:03:24+00:00,kathmandupost,"G7 to meet on Afghan deadline, evacuation put on ‘war footing’

Evacuations were being conducted on a “war footing” as foreign forces try to meet the August 31 deadline, a NATO diplomat told Reuters on Tuesday.

https://t.co/XIS9FnmRt0",evacuation
1,2020-01-30 01:48:17+00:00,kathmandupost,"Distressed and panicked, Nepalis in Hubei say they want to come home

At least 177 Nepali students and workers from the Chinese province have asked for evacuation, according to the Nepali Embassy in Beijing. https://t.co/wFIK80J4bj — by @anilkathmandu",evacuation
2,2022-03-29 09:45:00+00:00,kathmandupost,"Heavy rains drenched east Australia on Tuesday, triggering evacuation orders for thousands of flood-weary residents for the second time this month as authorities warned the intense weather is likely to persist for the next 24 hours.

https://t.co/T0Yj484TgJ",evacuation
3,2022-07-04 09:30:00+00:00,kathmandupost,"Tens of thousands of Sydney residents told to evacuate as rains flood suburbs

Since Sunday, about 30,000 residents in New South Wales state have been told to either evacuate or warned they might receive evacuation orders.

https://t.co/iImvyQs80B",evacuation
4,2022-03-13 13:15:00+00:00,kathmandupost,"Nepal’s evacuation lessons after Afghan and Ukraine crises

Kathmandu’s poor diplomatic presence, lack of resources, laid-back attitude and weak administration hamper rescue, officials say.

https://t.co/MQu81UwT96 — by @anilkathmandu",evacuation
5,2021-05-13 15:42:37+00:00,kathmandupost,"Nepal allows ‘special flights’ to evacuate stranded foreigners

The government has also permitted the evacuation of a number of Indian nationals using Kathmandu as a transit point to escape the flight ban in India.

https://t.co/LHkhWpUyMN — by @sangamprasai",evacuation
6,2020-08-17 17:01:05+00:00,kathmandupost,"At a time when tens of thousands of Nepalis, mainly migrant workers, were preparing to return home, the Covid-19 Crisis Management Centre on Monday abruptly asked the government to cancel all the planned evacuation flights for an indefinite period.

https://t.co/o5qoYUpMSe",evacuation
7,2016-12-14 06:20:01+00:00,kathmandupost,"Aleppo battle: Rebels await evacuation, as fighting ends

https://t.co/yu3nyRszDl https://t.co/nQKT9w6pEy",evacuation
8,2015-03-04 03:35:45+00:00,kathmandupost,All passengers safe but some were given medical attention after evacuation #TK726 http://t.co/ABSdSRXqMx http://t.co/rLMAep6NYc,evacuation
9,2021-09-17 04:35:00+00:00,kathmandupost,"Nepal to wrap up evacuation of its citizens from Afghanistan on September 18

Officials say 906 Nepali nationals have returned from Afghanistan as of Thursday.
https://t.co/SaoegWMDyc — by @anilkathmandu",evacuation
10,2021-08-22 17:15:00+00:00,kathmandupost,"President Vladimir Putin on Sunday rejected the idea of sending people evacuation from Afghanistan to countries near Russia, saying he did not want ""militants showing up here under cover of refugees"", Russian news agencies reported.

https://t.co/1KQ9WUjvwn",evacuation
11,2021-09-06 07:49:28+00:00,kathmandupost,"Taliban claim control of Panjshir as evacuation flights await clearance

There was no immediate word from Massoud, who leads a force made up of remnants of regular Afghan army and special forces units as well as local militia fighters.

https://t.co/vsZTT7vS8l",evacuation
12,2018-10-04 10:15:00+00:00,kathmandupost,"The Tourism Ministry on Wednesday said it was establishing a one-stop platform to issue helicopter rescue permits in restricted areas after rising deaths due to delayed medical evacuation flights

https://t.co/7vCokyOD1U",evacuation
13,2016-12-14 14:21:35+00:00,kathmandupost,"Syria conflict: Fierce fighting halts #Aleppo evacuation

https://t.co/qBBqCkcnF9 https://t.co/fnCTrLmw8Z",evacuation
14,2020-06-27 06:20:00+00:00,kathmandupost,"Evacuation flights to continue at least until June 30

As the first phase of repatriation of Nepalis stranded abroad ended on June 25, a total of 9,413 citizens have returned home from 22 countries

https://t.co/poLFJIebbc — by @CK_Mandal",evacuation
15,2017-03-23 11:45:00+00:00,kathmandupost,"Ukraine munitions blasts prompt mass evacuations

https://t.co/eM7o5ff6yL https://t.co/U0L58PFzxR",evacuation
16,2020-02-09 04:54:11+00:00,kathmandupost,"A week since Nepalis in China's Hubei province asked the Nepal government to evacuate them, officials in Kathmandu have little idea how the evacuation will progress. https://t.co/LxbB7O2QhL — by @sangamprasai &amp; @arjunpoudeltkp",evacuation
17,2021-02-07 09:20:00+00:00,kathmandupost,"As many as 150 people were feared dead after a Himalayan glacier broke and crashed into an Indian dam early on Sunday, with floods forcing the evacuation of villages downstream.

https://t.co/0KrFcaE83T",evacuation
18,2021-09-13 06:40:00+00:00,kathmandupost,"OPINION: High-rises improve emergency evacuations

Today’s skyscrapers can be emptied much more safely and easily in an emergency.
https://t.co/GW1SXxCmiq — by @ericakul",evacuation
19,2015-08-15 13:49:57+00:00,kathmandupost,"China Tianjin blasts: Evacuations as sodium cyanide found
http://t.co/wmyREITOrx",evacuation
20,2020-01-30 14:35:00+00:00,kathmandupost,"Distressed and panicked, Nepalis in Hubei say they want to come home

At least 177 Nepali students and workers from the Chinese province have asked for evacuation, according to the Nepali Embassy in Beijing. https://t.co/a4vARFbpSn — by @anilkathmandu",evacuation
21,2018-12-15 04:15:00+00:00,kathmandupost,"The International Organiza-tion for Migration and Changu Narayan Municipality in Bhaktapur District have begun work on a multi-purpose evacuation centre to accommodate displaced people in the event of a disaster.

https://t.co/4wSBZMdCq4",evacuation
22,2021-10-22 10:15:00+00:00,kathmandupost,"The evacuation of a second group of 57 refugees from Afghanistan linked to women's soccer and basketball, comprising mainly women and children, has been completed after negotiations, world soccer's governing body FIFA said on Friday.

https://t.co/eJOdITwOi5",evacuation
23,2020-02-09 15:45:00+00:00,kathmandupost,"The government has said it will evacuate Nepalis from Hubei, but it has yet to make preparations

Health officials and pilots say that evacuation will be a complicated procedure that requires meticulous planning. https://t.co/LxbB7NLeTb — by @sangamprasai &amp; @arjunpoudeltkp",evacuation
24,2021-08-29 07:32:46+00:00,kathmandupost,"US in final phase of Kabul evacuations, Taliban says ready to take over airport
https://t.co/PVtHBG6uWc",evacuation
25,2021-08-25 11:01:27+00:00,kathmandupost,"Biden says Afghan evacuation on track; humanitarian crisis looms

https://t.co/iLqhuIbEv5",evacuation
26,2021-08-09 05:25:00+00:00,kathmandupost,"Thousands of people have fled their homes on the Greek island of Evia as wildfires burned uncontrolled for a sixth day on Sunday, and ferries were on standby for more evacuations after taking many to safety by sea.

https://t.co/2HZuWOWOzo",evacuation
27,2016-12-25 12:15:00+00:00,kathmandupost,"German evacuation for WW2 bomb disposal in Augsburg

https://t.co/YfftOqxLTA https://t.co/oK9X4OlAo3",evacuation
28,2021-05-14 08:00:01+00:00,kathmandupost,"Nepal allows ‘special flights’ to evacuate stranded foreigners

The government has also permitted the evacuation of a number of Indian nationals using Kathmandu as a transit point to escape the flight ban in India.
https://t.co/LHkhWpCXVf — by @sangamprasai",evacuation
29,2018-10-05 00:15:00+00:00,kathmandupost,"The Tourism Ministry on Wednesday said it was establishing a one-stop platform to issue helicopter rescue permits in restricted areas after rising deaths due to delayed medical evacuation flights. The restricted areas adjoin northern border with China.

https://t.co/7vCokz6equ",evacuation
30,2014-06-25 04:14:50+00:00,kathmandupost,Special envoy to aid evacuation of Nepalis in Iraq http://t.co/ZengvrkKvh,evacuation
31,2016-12-18 06:05:00+00:00,kathmandupost,"#Aleppo evacuation: Thousands wait to leave as 'new deal reached'

https://t.co/040eCWtjxD https://t.co/fwVJwix4qh",evacuation
32,2023-04-23 09:22:19+00:00,kathmandupost,"Foreign states seek Sudan evacuations after US pulls out diplomats

The fighting that erupted in Khartoum and other parts of the country on April 15 has killed more than 400 people.

https://t.co/KTaWRsMxby",evacuation
33,2021-08-18 06:25:00+00:00,kathmandupost,"Evacuations from Afghanistan gather momentum as Taliban promise peace

https://t.co/dmqbOZHWBB",evacuation
34,2020-08-18 04:45:00+00:00,kathmandupost,"While tens of thousands of Nepalis without jobs and enough food are still stranded in various countries and desperate to return home, the abrupt decision to suspend all evacuation flights puts them in further limbo.

https://t.co/o5qoYUpMSe — by @sangamprasai &amp; @CK_Mandal",evacuation
35,2020-05-23 01:11:45+00:00,kathmandupost,"Officials say they are working on ways to repatriate citizens but there is neither evacuation protocol nor quarantine facilities and testing guarantee

https://t.co/HTZBZLSotF — by @anilkathmandu",evacuation
36,2021-09-17 18:15:00+00:00,kathmandupost,"Nepal to wrap up evacuation of its citizens from Afghanistan on September 18

Officials say 906 Nepali nationals have returned from Afghanistan as of Thursday.
https://t.co/6kOaQt2PzO — by @anilkathmandu",evacuation
37,2020-10-15 08:25:00+00:00,kathmandupost,"Not a single Nepali worker applied to the country’s diplomatic missions abroad seeking repatriation under the government’s Covid-19 evacuation plan in the first week of October, official data shows.
https://t.co/jP01yJA0fE — by @CK_Mandal",evacuation
38,2022-03-04 11:15:00+00:00,kathmandupost,"EDITORIAL: Get them out of there

We are already pretty late in initiating an evacuation operation for Nepalis stranded in Ukraine.

https://t.co/yWWDBh28gf",evacuation
39,2022-03-13 02:10:00+00:00,kathmandupost,"Nepal’s evacuation lessons after Afghan and Ukraine crises

Kathmandu’s poor diplomatic presence, lack of resources, laid-back attitude and weak administration hamper rescue, officials say.

https://t.co/vPlIE3d6Ka — by @anilkathmandu",evacuation
40,2022-03-05 12:45:00+00:00,kathmandupost,"Ukraine accuses Russia of continuing assault during agreed evacuation ceasefire

https://t.co/wzb5XCwhKo",evacuation
41,2016-12-18 14:30:01+00:00,kathmandupost,"Rebels burn Syria evacuation buses

https://t.co/R59yvy9RSc",evacuation
42,2021-08-26 15:57:53+00:00,kathmandupost,"There were at least two explosions near Kabul's airport amid a huge and chaotic evacuation effort from Afghanistan on Thursday, the Pentagon said, with civilians and US service members among the casualties of what was described as a “complex attack.”

https://t.co/Ju8QUMmkjP",evacuation
43,2022-03-06 14:32:54+00:00,kathmandupost,"Russia, Ukraine blame each other as Mariupol evacuation fails again

https://t.co/9pQ5GbdwwX",evacuation
44,2020-06-27 20:45:00+00:00,kathmandupost,"Evacuation flights to continue at least until June 30

As the first phase of repatriation of Nepalis stranded abroad ended on June 25, a total of 9,413 citizens have returned home from 22 countries

https://t.co/poLFJIvMzM — by @CK_Mandal",evacuation
45,2015-07-26 04:05:07+00:00,kathmandupost,"Tundikhel folks given extra week for evacuation
http://t.co/oaGDK3AWql http://t.co/pwmiHF28Oo",evacuation
46,2023-04-24 10:19:25+00:00,kathmandupost,"Sudan evacuations speed up during fighting lull

The sudden eruption of violence between the military and the well-armed Rapid Support Forces (RSF) paramilitary group on April 15 has triggered a humanitarian crisis and killed 420 people.

https://t.co/yduBWi47mm",evacuation
47,2020-10-15 23:45:00+00:00,kathmandupost,"Not a single Nepali worker applied to the country’s diplomatic missions abroad seeking repatriation under the government’s Covid-19 evacuation plan in the first week of October, official data shows.
https://t.co/jP01yJA0fE — by @CK_Mandal",evacuation
