,Date,User,Tweet,Keyword
0,2015-04-23 15:29:04+00:00,kathmandupost,Only 7 pc infected with seasonal flu in Jajarkot: Govt  http://t.co/Lw9ryeuN3a http://t.co/InWlzBMWgp,flu
1,2022-11-19 11:30:01+00:00,kathmandupost,"Germany striker Fuellkrug misses first training in Qatar with flu

He is seen as a much-needed addition to the squad that had been lacking the qualities and services that an out-and-out striker such as Fuellkrug can bring to their game.

https://t.co/gg3vGFNMkU",flu
2,2017-01-12 06:00:00+00:00,kathmandupost,"Bird flu biggest threat to poultry industry

https://t.co/YdcC5NbOPp https://t.co/4cOslUgDbb",flu
3,2017-08-13 19:15:00+00:00,kathmandupost,"Op-Ed

Alarming surge of swine flu in Nepal
- Binod Rayamajhee

#KathmanduPost 

https://t.co/a5f7mtYIzI",flu
4,2019-05-03 01:15:00+00:00,kathmandupost,"The H5N1 bird flu virus that has been confirmed as the first cause of death in Nepal is the world’s first H5N1 human infection since February 2017 &amp; has raised issues of public health emergency of international concern.
https://t.co/FXcXDFL8cz — @arjunpoudeltkp &amp; @arpanshr",flu
5,2019-05-04 11:15:00+00:00,kathmandupost,"Goat meat has become dearer by around Rs150 per kg in the Kathmandu Valley over the past month, mainly due to a fall in imports of live animals from India and a surge in demand caused by consumers switching to goat from chicken over a bird flu scare. 

https://t.co/hr6CAQez5L",flu
6,2023-02-05 02:45:00+00:00,kathmandupost,"Four days since bird flu detection, authorities yet to jump into action

Experts say complacency in handling highly contagious viruses could spell disaster in the country.

https://t.co/kfWjX9LDek — by @arjunpoudeltkp",flu
7,2018-01-10 06:00:01+00:00,kathmandupost,"Seasonal flu has affected hundreds of people at Junichande Rural Municipality in Jajarkot district

https://t.co/tuymFpE2Qp",flu
8,2017-09-01 18:45:00+00:00,kathmandupost,"Health minister down with ‘swine flu’

#KathmanduPost

https://t.co/JXXGdNEIou",flu
9,2015-03-02 02:55:27+00:00,kathmandupost,"Swine flu death rings alarm bell
http://t.co/QXgNap7jEN http://t.co/77ruUpDSp2",flu
10,2017-10-05 04:51:01+00:00,kathmandupost,"Children’s Health: Older siblings a risk factor for serious flu infections in infants
#KathmanduPost
https://t.co/3csFNXhGpy https://t.co/bcRIrznkXi",flu
11,2022-11-22 18:15:00+00:00,kathmandupost,"OPINION: Nepal now dealing with tomato flu?

For the first time, Nepal observed tomato flu-like illness in an adult, followed by dengue fever.

https://t.co/WD7fKMAUDj — by Sher Bahadur Pun",flu
12,2021-09-23 18:15:00+00:00,kathmandupost,"With the winter season approaching, there are concerns about possible outbreaks of seasonal flu, which could put further pressure on the country’s health care system that is already strained due to the Covid-19 pandemic. https://t.co/V5tr9XdoX5 — by @arjunpoudeltkp",flu
13,2023-02-17 04:55:00+00:00,kathmandupost,"Over 11,600 birds culled following A(H5N1) confirmation

An avian flu outbreak at a Lalitpur-based government farm around two weeks ago has been confirmed to have spread to at least six local units in the Valley.

https://t.co/CnfubVforP",flu
14,2015-03-01 03:20:22+00:00,kathmandupost,"Swine flu cases top 30, 23 from Valley alone
http://t.co/lu4oVheHie http://t.co/zR6HH8GLqu",flu
15,2022-11-22 03:15:00+00:00,kathmandupost,"OPINION: Nepal now dealing with tomato flu?

For the first time, Nepal observed tomato flu-like illness in an adult, followed by dengue fever.

https://t.co/I1mMnRQfXA — by Sher Bahadur Pun",flu
16,2015-02-24 04:15:11+00:00,kathmandupost,"Swine flu cases rise to 8
http://t.co/ohRa6zgDkz",flu
17,2019-05-06 19:15:00+00:00,kathmandupost,The H5N1 bird flu virus was first detected in birds in Nepal in 2009. The country declared itself free from H5N1 in 2012 but this strain of the deadly bird flu virus continues to be found in poultry farms in Nepal.  https://t.co/Hc9cP2b19A  — by @arjunpoudeltkp,flu
18,2015-09-06 04:10:08+00:00,kathmandupost,Swine flu patients deprived of treatment http://t.co/yzPuPNarCD,flu
19,2021-10-26 07:40:06+00:00,kathmandupost,"A jump in the number of people in China infected with bird flu this year is raising concern among experts, who say a previously circulating strain appears to have changed and may be more infectious to people.

https://t.co/JhRxk9rzzN",flu
20,2017-09-01 09:00:01+00:00,kathmandupost,"309 infected with swine flu in Chitwan

#KathmanduPost

https://t.co/AzLuLVqa8M",flu
21,2018-01-15 07:45:00+00:00,kathmandupost,"Flu takes one more life in Jajarkot; toll climbs to 14

#KathmanduPost

https://t.co/KoKSRsfAcb https://t.co/Jjn1o5tlFF",flu
22,2022-05-01 17:45:00+00:00,kathmandupost,"Cases of seasonal flu and waterborne diseases are rising

Season change, contaminated water, food poisoning, and lack of awareness have been blamed for the rise in cases. https://t.co/W5PSk7n0Fp — by @arjunpoudeltkp",flu
23,2019-08-18 06:00:00+00:00,kathmandupost,"Bajura District Hospital is receiving more than 100 patients of seasonal diseases—like fever, flu, diarrhoea—on a daily basis

https://t.co/3AIBtRimlr — by Sangita Timilsena",flu
24,2019-06-07 07:55:00+00:00,kathmandupost,"Yarchagumba pickers have been dying to treatable diseases like flu, diarrhoea and altitude sickness for lack of medical attention. But their request for health facilities in Bajhang highlands goes unheeded. —by @bajhangimitra
&amp; Hari Gautam

https://t.co/2FxaZ7r0Kp",flu
25,2022-12-13 03:45:00+00:00,kathmandupost,"As weather gets chilly, pneumonia, asthma and seasonal flu cases rise

Small children, elderly people and those with weak immunity are more affected, according to doctors.

https://t.co/lE2FqPVMs0",flu
26,2015-02-23 11:51:42+00:00,kathmandupost,Two ‘infected’ with swine flu in Pokhara http://t.co/jZaycyOoB6 http://t.co/ohv22F6DMj,flu
27,2018-09-18 22:15:00+00:00,kathmandupost,"Authorities in Saptari are struggling to contain Swine flu (H1N1) and Hong Kong flu (H3N2) outbreaks in Kanchanrup Municipality due to fund shortage.

https://t.co/BzcPu4lpvf",flu
28,2017-08-04 03:00:01+00:00,kathmandupost,"Death toll from swine flu (Influenza ‘A’ H1N1) has reached eight across the country over the past two weeks

https://t.co/EphkmMiMtX",flu
29,2017-09-14 09:45:01+00:00,kathmandupost,"Swine flu kills one, 42 others are said to have contracted the disease in Gurbhakot Municipality-9, Surkhet

https://t.co/nNbLbLRLIe",flu
30,2021-09-23 03:45:00+00:00,kathmandupost,"With the winter season approaching, there are concerns about possible outbreaks of seasonal flu, which could put further pressure on the country’s health care system that is already strained due to the Covid-19 pandemic. https://t.co/ZuSYqycTGy — by @arjunpoudeltkp",flu
31,2015-02-26 02:45:18+00:00,kathmandupost,"13 people infected with swine flu virus
http://t.co/ocdWZTnUC0 http://t.co/dmZPUso0tW",flu
32,2015-04-21 03:45:09+00:00,kathmandupost,"Lack of preventive measures behind swine flu spread
http://t.co/8jkVLkraR7 http://t.co/6uSE0p17DE",flu
33,2022-08-10 03:45:00+00:00,kathmandupost,"Swine flu cases rise amid fourth wave of the pandemic

At least 57 cases of H1N1 known as swine flu have been reported in the last two months. Experts suggest that authorities concerned should step up surveillance measures.
https://t.co/vMiozTe6a5 — by @arjunpoudeltkp",flu
