,Date,User,Tweet,Keyword
0,2023-01-29 03:30:30+00:00,kathmandupost,"New Zealand roiled by flash floods, landslides for third day
Thousands of properties remained without power, while hundreds were without water, authorities said on Sunday.

https://t.co/op0xpUrhHF",landslide
1,2020-08-03 06:53:02+00:00,kathmandupost,"UPDATE: Eight killed and one injured in a landslide in Melamchi, Sindhupalchok

A landslide buried an under-construction covered hall in Gauri Bazaar on Monday morning.

https://t.co/RVHJDQTBhG — by Anish Tiwari",landslide
2,2020-07-23 04:25:00+00:00,kathmandupost,"Landslide sweeps away 19 houses in Lamjung local unit

No human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.
https://t.co/3l56xgiL4N — by Aash Gurung",landslide
3,2022-01-24 05:45:00+00:00,kathmandupost,"A Ramechhap settlement at risk of landslides

The residents of Keurini Birta in Likhu Tamakoshi Rural Municipality complain that the authorities concerned are indifferent to their problem.

https://t.co/UJfq7k9EZf — by Tika Prasad Bhatta",landslide
4,2020-08-16 01:48:48+00:00,kathmandupost,"18 bodies recovered from Lidi landslide; 21 are still missing

One hundred and thirty-five displaced families are staying in Lapsedanda. https://t.co/bTucOaaOt1 — by Anish Tiwari",landslide
5,2021-09-08 16:45:00+00:00,kathmandupost,"Landslides threaten to sweep away Sindhupalchok school

Most of the students have stopped attending their classes which resumed only a few days ago. 

https://t.co/urYWqJTikx — by  Anish Tiwari",landslide
6,2023-05-18 13:24:42+00:00,kathmandupost,"Nine dead in northern Italy floods, Formula One race called off

Authorities say flooding had hit 37 towns and communities and around 120 landslides had been registered.

https://t.co/dEqPN2mcHd",landslide
7,2022-04-21 05:35:00+00:00,kathmandupost,"Bajhang folk fear disconnect from national road network

The district was disconnected from the national road network for about a month in October last year as the floods and landslides severely damaged Jaya Prithvi Highway. https://t.co/RpjSYUVzE6 — by @bajhangimitra",landslide
8,2019-06-24 06:25:00+00:00,kathmandupost,"This year, the department was supposed to work on seven landslide-prone spots—two of that were left unattended last year and five new ones—on the Narayangarh-Muglin
road stretch.
https://t.co/U6df1PrPF1",landslide
9,2020-08-14 15:39:09+00:00,kathmandupost,"UPDATE: Rescuers retrieve 11 bodies from Sindhupalchok landslide site, 27 still missing https://t.co/f2lMQzIQ1K — by Anish Tiwari",landslide
10,2021-09-09 05:30:00+00:00,kathmandupost,"Disruption of Mid Hill Highway affects hill districts of Gandaki

The highway has been blocked by at least 20 major landslides, cutting off supply lines.
https://t.co/FQgEkCkSv5 — by Agandhar Tiwari, Prakash Baral &amp; Ghanshyam Khadka",landslide
11,2019-07-19 09:30:17+00:00,kathmandupost,"Heavy rainfall over the past few days has caused floods and landslides across South Asia, killing scores of people and rendering millions homeless. 
These photos show the impact: https://t.co/MGyylcAQSx",landslide
12,2020-07-28 06:45:00+00:00,kathmandupost,"Landslide victims in Myagdi and Jajarkot faced with uncertain future await better response from authorities

https://t.co/FN5H5xRUNd — by Ghanashyam Khadka &amp; Bhim Bahadur Singh",landslide
13,2018-09-22 06:15:00+00:00,kathmandupost,"The Chambas settlement in Gajuri 2, Dhading, is at a risk of landslide after the land developed cracks due to haphazard extraction of slate, an initial study of the rural municipality has found.

https://t.co/Lh0RdafpQ0",landslide
14,2022-10-12 00:15:00+00:00,kathmandupost,"Children in northern Darchula deprived of mid-day meal

Scores of students have been left without the government-provided mid-day meal as landslides and floods disrupt food supply from the district headquarters.

https://t.co/l41dWAg8Kx — by Manoj Badu",landslide
15,2020-07-09 09:55:00+00:00,kathmandupost,"Amid risks of landslides, local units in Gandaki relocate settlements

Locals say while it’s better to move to a safer space than live in the risky villages, relocating won’t be sustainable unless there’s concrete effort from the local units.

https://t.co/xmEp8stgtP",landslide
16,2020-11-29 05:35:00+00:00,kathmandupost,The National Reconstruction Authority and Nepal Electricity Authority have initiated the geological study of some human settlements that are at high risk of landslides in Sindhupalchok district. https://t.co/Lf6Pc4JoRJ — by Anish Tiwari,landslide
17,2019-07-30 01:15:00+00:00,kathmandupost,"While traders say the flood and landslides in key vegetable producing areas has affected production, consumer rights activists say middlemen are hiking up prices on the pretext of natural disasters. https://t.co/4Pxupxw0Bl  — by @PrasainKrishana",landslide
18,2020-09-28 04:10:00+00:00,kathmandupost,"As many as 54 families have been displaced after a massive landslide struck Jogle Gaira settlement in Shitganga Municipality Ward No. 12, Arghakhanchi, on Friday. https://t.co/WNfQu8FT6N — by Birendra KC",landslide
19,2020-07-18 07:47:00+00:00,kathmandupost,"Six days later, no whereabouts of the 11 missing in Sankhuwasabha landslide

Bad weather had hampered rescue efforts in the remote village that lies a day’s walk from Khandbari

https://t.co/BdLkJVyBEn — by Dipendra Shakya",landslide
20,2020-09-03 07:01:50+00:00,kathmandupost,"UPDATE: 11 bodies recovered from flood and landslides site in Baglung

More than 20 people have gone out of contact following the disasters, authorities say. https://t.co/CgfB0700Qv — by Prakash Baral",landslide
