,Date,User,Tweet,Keyword
0,2015-05-30 02:59:55+00:00,kathmandupost,"Forest degradation, encroachment increase during every political transition &amp; natural disaster http://t.co/f9ErDyb7a4 http://t.co/sNuIXqnznU",natural disaster
1,2023-02-12 02:55:00+00:00,kathmandupost,"Rescuers toil on in rubble of Turkey and Syria, survivors ever harder to find

Monday’s 7.8 magnitude quake, with several powerful aftershocks across Turkey and Syria, ranks as the world’s seventh deadliest natural disaster this century.

https://t.co/GXyv0W16Tl",natural disaster
2,2017-08-17 10:05:01+00:00,kathmandupost,"Dahal urges political parties to unite in time of natural disaster

#KathmanduPost

https://t.co/Ogu6V3bP2d https://t.co/u50bdZGiN0",natural disaster
3,2021-06-24 01:42:00+00:00,kathmandupost,"EDITORIAL: Restore political course

The administration has a lot on its plate amid vaccine deal fiascos and natural disaster alerts.

https://t.co/gx8gHVQZLV",natural disaster
4,2018-07-24 01:15:00+00:00,kathmandupost,"Twelve villages in Mugu district are at high risk of landslides, according to the District Natural Disaster and Rescue Committee

#KathmanduPost

https://t.co/44AHbbCGRB",natural disaster
5,2017-11-06 11:56:23+00:00,kathmandupost,"Govt to come up with special package for natural disaster survivors

#KathmanduPost 

https://t.co/9o8LPIaCag https://t.co/C9wH8N6Sku",natural disaster
6,2017-11-06 06:57:00+00:00,kathmandupost,"Govt to come up with special package for natural disaster survivors

#KathmanduPost

https://t.co/9o8LPIaCag",natural disaster
7,2016-03-17 05:43:08+00:00,kathmandupost,"37th Saarc Ministerial meet begins; Ind-Pak FMs hold informal meet,discuss formation of Natural Disaster Mgmt Centre
https://t.co/k2r6foxrs6",natural disaster
8,2018-06-26 17:45:00+00:00,kathmandupost,"The Tehrathum District Natural Disaster Rescue Committee has identified 15 settlements as landslide-prone areas and alerted their residents about the danger this monsoon

#KathmanduPost

https://t.co/bNJG4Bazob",natural disaster
9,2021-06-24 11:15:00+00:00,kathmandupost,"EDITORIAL: Restore political course

The administration has a lot on its plate amid vaccine deal fiascos and natural disaster alerts.

https://t.co/kkWJNjlh5s",natural disaster
