,Date,User,Tweet,Keyword
0,2021-07-08 15:45:00+00:00,kathmandupost,"People with comorbidities deprived of health care amid pandemic

Infection fears and restrictions enforced by the authorities have affected the follow-up visits of many patients. 

https://t.co/XbnNfprb26 — by @arjunpoudeltkp",pandemic
1,2022-08-01 09:58:46+00:00,kathmandupost,"‘Living with Covid’: Where the pandemic could go next

Many experts had predicted that transition would begin in early 2022, but the arrival of the highly mutated Omicron variant of coronavirus disrupted those expectations.

https://t.co/baosBeGrA8",pandemic
2,2021-07-06 13:45:00+00:00,kathmandupost,"European Union says it plans more Covid-19 vaccine donations as world faces two-track pandemic

https://t.co/p9aaIkLsAA",pandemic
3,2021-10-13 17:00:00+00:00,kathmandupost,"4.5 million girls at risk of not finishing school due to pandemic

A UN report says with children remaining out of school, the risk of child labour, gender-based violence, early and forced marriage, and early pregnancy may increase.
https://t.co/k7w6lNFyRt — by @binodjourno",pandemic
4,2021-06-04 06:15:00+00:00,kathmandupost,"OPINION: Investing in data saves lives

The pandemic has highlighted the value of models in informing humanitarian response strategies.
https://t.co/rh2uklz1cJ — by Mark Lowcock &amp; Raj Shah",pandemic
5,2021-09-30 04:45:00+00:00,kathmandupost,"How dining out has changed since Covid-19

Health, safety, and sanitation are on the top of diners’ minds amidst the pandemic, and restaurateurs seem to have taken note.

https://t.co/9mpS9qLaTy — by @Aakritigg",pandemic
6,2021-05-26 21:15:00+00:00,kathmandupost,"Nepalis went on a mobile and laptop buying spree to stay connected as the pandemic confined them to their homes, pushing up imports to an all-time high. 

https://t.co/s6Irahb5Po — by @PrasainKrishana",pandemic
7,2022-04-20 04:45:00+00:00,kathmandupost,"Hotels scrap uniform pay as tourism perks up

Employees will be paid according to their pay grades instead of a uniform salary, as was done during the lean times of the pandemic.
https://t.co/o1xJaOTaqR — by @sangamprasai",pandemic
8,2021-06-06 13:00:02+00:00,kathmandupost,"Leadership of task force formed to fight the pandemic comes into question

Covid-19 Crisis Management Centre needs to be led by experts, not ministers or security personnel, experts say. https://t.co/2zC7ARJKYp — by @journoprithvi",pandemic
9,2021-08-22 05:15:00+00:00,kathmandupost,"Multinationals in Nepal see sales boom in personal care products

Business is expected to swell in the future as the pandemic has made people more conscious of health and hygiene, insiders say.

https://t.co/wafjp4LWdh — by @PrasainKrishana",pandemic
10,2022-06-19 05:15:00+00:00,kathmandupost,"Pandemic and Covid vaccination affect several other health programmes

Despite the increasing burden of diseases and responsibilities, there have been no significant increments to the human resource, officials say.

https://t.co/Woo24oUKLl — by @arjunpoudeltkp",pandemic
11,2022-03-01 18:15:00+00:00,kathmandupost,"Doctors’ fee almost doubled during pandemic but government unaware

https://t.co/imCHYBqOms — by @arjunpoudeltkp",pandemic
12,2021-12-23 12:45:00+00:00,kathmandupost,"There are vaccines. But there could be syringe shortages

Availability of the safe injection equipment is crucial in fighting the pandemic that’s far from over.
https://t.co/DysL32UKd5 — by @arjunpoudeltkp",pandemic
13,2022-12-14 06:15:00+00:00,kathmandupost,"OPINION: China’s zero-Covid drama

China has attempted to ease its pandemic restrictions before, only to tighten them when cases surged. https://t.co/AYxxH4ZIu0 — by Nancy Qian",pandemic
14,2021-09-23 03:45:00+00:00,kathmandupost,"With the winter season approaching, there are concerns about possible outbreaks of seasonal flu, which could put further pressure on the country’s health care system that is already strained due to the Covid-19 pandemic. https://t.co/ZuSYqycTGy — by @arjunpoudeltkp",pandemic
15,2021-06-04 02:20:00+00:00,kathmandupost,"Curbs need gradual lifting, with other measures to control pandemic, experts say
https://t.co/1lKAAIKQpO — by @arjunpoudeltkp",pandemic
16,2022-12-06 06:45:00+00:00,kathmandupost,"Next year, NEFTA awards goes to Texas

The award is being organised after a hiatus of two years due to the Covid-19 pandemic. The 10th NEFTA award ceremony was held in Kathmandu in March 2020.

https://t.co/UIKYbN7C5f — by Rukusha Giri",pandemic
17,2022-01-20 02:17:09+00:00,kathmandupost,"Human resource crunch at hospitals could be an issue as Covid cases rise

Experts say health workers are catching virus amid spike in cases and it could pose a challenge to pandemic fight.

https://t.co/CXXGKHmp3N —by @arjunpoudeltkp",pandemic
18,2022-09-20 06:15:00+00:00,kathmandupost,"OPINION: Memory problems during pandemic

Many people have reported that they became more forgetful during the lockdown periods.
https://t.co/Z5iKa4p1Ic — by Molly Macmillan",pandemic
19,2022-04-21 00:15:00+00:00,kathmandupost,"Hotels scrap uniform pay as tourism perks up

Employees will be paid according to their pay grades instead of a uniform salary, as was done during the lean times of the pandemic.

https://t.co/pNhRzsHvni — by @sangamprasai",pandemic
20,2022-03-08 14:15:00+00:00,kathmandupost,"Women look for a human economy— equal for all

Problems ranging from managing cash, paying workers, rent and repaying loans caused distress to women during Covid-19 pandemic, forcing many to quit entrepreneurship.

https://t.co/4qJybiNyhP — by @PrasainKrishana",pandemic
21,2021-07-14 01:35:00+00:00,kathmandupost,"The Congress politician has taken over government reins for the fifth time with the responsibility to fight the pandemic and clear up the mess left by his predecessor Oli.

https://t.co/O8eSGTm2Rw — by @anilkathmandu",pandemic
22,2021-07-21 08:00:01+00:00,kathmandupost,"WHO head Tedros backs Tokyo Games amid pandemic

Speaking to the International Olympic Committee members at their session in the Japanese capital, Tedros said the world needed the Olympics now “as a celebration of hope”.

https://t.co/KxVIbfrwjX",pandemic
23,2021-12-29 04:15:00+00:00,kathmandupost,"Hotel Yak and Yeti’s Sales &amp; Marketing Director Sagar Chandra Bantawa Rai talks to the Post's @Pinki_SR about pandemic’s impact on the hotel industry, the importance of domestic tourism, &amp; the hotel’s campaign to celebrate Kathmandu Valley’s resilience. 

https://t.co/2wIuN7cZ8F",pandemic
24,2022-01-23 05:15:00+00:00,kathmandupost,"Pandemic can derail progress made in child nutrition, UNICEF warns

Says Nepal achieved marked progress in reducing child stunting during 2002-2016.

https://t.co/cZ5eLKwGP3",pandemic
25,2021-07-25 02:05:00+00:00,kathmandupost,"Dispute over party membership, focus on governance, pandemic, natural calamities and Deuba’s desire to lead party for another term could mean it will be postponed.

https://t.co/2rpxw8q85W — by @anilkathmandu",pandemic
26,2021-11-01 08:15:00+00:00,kathmandupost,"OPINION: The test of pandemic preparedness

Instead of working toward common solutions, governments are putting national interest first.

https://t.co/aKHvUSHYhp — by Jose Manuel Barroso",pandemic
27,2022-07-15 05:15:00+00:00,kathmandupost,"Around 25 million children around the world missed out on routine vaccinations that protect against life-threatening diseases last year, as the knock-on effects of the pandemic continue to disrupt health care globally.

https://t.co/b5U2tcehy7",pandemic
28,2021-08-29 15:15:00+00:00,kathmandupost,"Congress rival factions reach truce, focus now on new leadership

Amid the pandemic, making arrangements for food and accommodation for thousands of leaders and cadres will be a tall order for the general convention organisers.

https://t.co/DLQgxMLcOm — by @anilkathmandu",pandemic
29,2022-04-28 08:15:00+00:00,kathmandupost,"Mugu villagers prepare to go to highlands for yarsa collection

Almost all the local units in Mugu, including Mugumkarmarong Rural Municipality, had imposed a ban on yarsagumba collection in 2020 &amp; 2021 due to the Covid-19 pandemic. https://t.co/IEdX1xZJGI  — by Raj Bahadur Shahi",pandemic
30,2022-10-18 06:15:00+00:00,kathmandupost,"Multidimensional poverty slumped in Nepal before Covid-19, global report says

Earlier, a national report had warned that the Covid-19 pandemic could disrupt the past gains. https://t.co/5m2WH8trKr — by @journoprithvi",pandemic
31,2021-07-21 07:32:36+00:00,kathmandupost,"India’s excess deaths during the Covid-19 pandemic could be as high as 4.9 million, a new study shows, providing further evidence that millions more may have died from coronavirus than the official tally.

https://t.co/BlF3FlCIfQ",pandemic
32,2022-03-18 04:45:00+00:00,kathmandupost,"South Korea recorded a record 621,328 new daily Covid-19 cases and a daily record 429 deaths, authorities said on Thursday, as the country which once took an aggressive anti-pandemic approach is set to end Covid restrictions.

https://t.co/8dnvvTrC3t",pandemic
33,2021-07-04 18:15:00+00:00,kathmandupost,"Agencies providing pre-departure training, fitness certificates say government ignores them

As agencies continue to struggle amid pandemic, costly renewal process burdens them before the fiscal year end. https://t.co/Z8uffwClfe — by @CK_Mandal",pandemic
34,2021-11-01 07:15:00+00:00,kathmandupost,"People line up outside the Department of Passports in Kathmandu on Sunday. The number of passport applicants has risen due to the
post-pandemic reopening of travel and the US Diversity Visa lottery, officials say.

Photo by: @Elite_Joshi https://t.co/NluCy5XnKK",pandemic
35,2021-06-23 02:55:00+00:00,kathmandupost,"Economic growth target unchanged for the next three years despite the pandemic
https://t.co/KuN4lWINaM — by @journoprithvi",pandemic
36,2021-06-13 05:15:00+00:00,kathmandupost,"Government plan to introduce new school curricula suffers setbacks

Schools and teachers say the government should postpone the plan considering the pandemic.

https://t.co/fUKIO1aRq7 — by @binodjourno",pandemic
37,2022-06-10 08:47:53+00:00,kathmandupost,"The World Health Organization said on Thursday its latest investigation into the origins of Covid-19 was inconclusive, largely because data from China is missing, another blow to its years-long effort to determine how the pandemic began.

https://t.co/Y3AKfo0DE7",pandemic
38,2021-12-23 02:05:00+00:00,kathmandupost,"There are vaccines. But there could be syringe shortages

Availability of the safe injection equipment is crucial in fighting the pandemic that’s far from over.
https://t.co/gK7DoepDJW — by @arjunpoudeltkp",pandemic
39,2022-11-28 14:15:00+00:00,kathmandupost,"Police on Monday stopped and searched people at the sites of weekend protests in Shanghai and Beijing, after crowds there and in other Chinese cities demonstrated against stringent Covid-19 measures disrupting lives three years into the pandemic.

https://t.co/N2h2vW94Nn",pandemic
40,2021-06-14 10:45:00+00:00,kathmandupost,"EDITORIAL: Ego-centric politicians

Even as the pandemic rages on, they can't see beyond their nose.

https://t.co/67s0ts7xcA",pandemic
41,2022-01-21 02:25:00+00:00,kathmandupost,"Stuck in the pandemic’s endless loop

In order to stay safe in the midst of the pandemic, many elderlies have had to curtail their freedom and that has come with its own set of challenges. https://t.co/edQtmCwrpb — by @SrizuB",pandemic
42,2023-01-19 10:54:29+00:00,kathmandupost,"WATCH: Three years after the first case of Covid-19 we look at how it has changed our lives in Asia and what will stick with us even after the pandemic subsides. 

The Post in association with @asianewsnetwork 

https://t.co/rFWX8emGr9",pandemic
43,2021-12-07 11:15:00+00:00,kathmandupost,"EDITORIAL: Amid the pandemic

The absence of essential medicines for almost two months is nothing short of maleficence.

https://t.co/WhnkV7wkTX",pandemic
44,2021-08-04 07:15:00+00:00,kathmandupost,"The pandemic has disproportionately affected sex workers

Sex workers who want to quit the profession are now finding it more challenging to do so in the midst of a pandemic.

https://t.co/mPxD0yLW3g — by @TseringNgodupL1",pandemic
45,2022-02-22 18:45:00+00:00,kathmandupost,"OPINION: Opportunity to recalibrate tourism

The lesson from the pandemic is that Nepal needs to get to high-end tourism in a big way.

https://t.co/YcHDI8l0Ns — by @sujeevshakya",pandemic
46,2021-07-17 11:15:00+00:00,kathmandupost,"In new fiscal year, hopes for economic revival hinge on jabs

Nepal’s economy lost two years to pandemic. Economic activities were picking up but then the second wave hit in April. Except for tourism, prognosis is good, experts say.

https://t.co/AgmMRBZ16T — by @journoprithvi",pandemic
47,2023-04-11 00:45:00+00:00,kathmandupost,"Provincial pride projects in Gandaki in limbo

Political instability, lack of coordination between federal and provincial governments, budget crunch, and the pandemic are cited as the reasons.

https://t.co/ZkkQRuEEWf — by Pratiksha Kafle",pandemic
48,2021-05-23 14:45:00+00:00,kathmandupost,"Elections in the time of a raging pandemic, a recipe for disaster

In India campaigning for assembly polls in states contributed to a deadly second wave. In Nepal elections are scheduled during a potential third wave, experts say. https://t.co/Xnx0EjBf8T — by @arjunpoudeltkp",pandemic
49,2021-09-12 20:15:00+00:00,kathmandupost,"FICTION PARK: Ghanashyam Bista, seeker of life's truth

The pandemic and the subsequent lockdowns had left Bista depressed, disoriented, and stressed.

https://t.co/muby1qQbbJ — by Pratik Mainali",pandemic
50,2023-03-21 15:45:00+00:00,kathmandupost,"Hotel industry goes from boom to bust as tourism fluctuates

Frequent plane crashes, misguided policies and political instability cast a pall over the sector that is still struggling to recover from the Covid pandemic.

https://t.co/W1AF8wwBGM — by @sangamprasai",pandemic
51,2021-09-01 15:45:00+00:00,kathmandupost,"Gokarneshwar reopens schools, but experts say rush could prove costly

Health Ministry has said the pandemic is not over yet and children are at high risk of infections. 

https://t.co/UEwwt5LZdp — by @arjunpoudeltkp",pandemic
52,2021-05-24 18:15:00+00:00,kathmandupost,"The Covid-19 pandemic is being perpetuated by a ""scandalous inequity"" in vaccine distribution, the head of the World Health Organization said on Monday as he set new targets for protecting people in the poorest countries.

https://t.co/CsOikieX3w",pandemic
53,2021-12-07 01:45:00+00:00,kathmandupost,"EDITORIAL: Amid the pandemic

The absence of essential medicines for almost two months is nothing short of maleficence.

https://t.co/e6uVAvUlKV",pandemic
54,2021-11-02 03:05:00+00:00,kathmandupost,"From academic to labourer: Afghan economic crisis spares few

Already battling a severe drought and the coronavirus pandemic, Afghanistan's financial crisis has worsened since the return of the Taliban to power in mid-August.

https://t.co/mfSmvMvD9L",pandemic
55,2022-09-02 01:45:00+00:00,kathmandupost,"EDITORIAL: All talk and no action

The pandemic has been a compelling reminder for governments to invest more in social protection.

https://t.co/V9K2nihbDU",pandemic
56,2022-04-14 06:00:01+00:00,kathmandupost,"Ninth National Games in June

The multi-sporting event was previously scheduled for March 2021 but the plans were cancelled due to the coronavirus pandemic.

https://t.co/8WmVrrhth3",pandemic
57,2022-05-21 12:15:00+00:00,kathmandupost,"Nepal’s financial sector doing well in post-pandemic economy

Profitability of the banking sector rose by 21.01 percent to Rs71.30 billion in the last fiscal year ended mid-July 2021.

https://t.co/Ly74muMArT — by @PrasainKrishana",pandemic
58,2022-09-10 08:35:31+00:00,kathmandupost,Pandemic compelled people to switch towards digital payments: Sanjib Subba,pandemic
59,2021-05-30 03:14:16+00:00,kathmandupost,"As monsoon nears Nepal will have to cope with seasonal diseases and pandemic

As seasonal diseases have symptoms similar to Covid-19, experts warn that treatable conditions may not be diagnosed in time and this may be fatal.

https://t.co/vX2afxpMVU — by @arjunpoudeltkp",pandemic
