,Date,User,Tweet,Keyword
0,2020-01-26 12:15:00+00:00,kathmandupost,"Who will save Nepalis awaiting execution in foreign lands?

As a country that has done away with the death penalty, it is up to Nepal government to make all efforts to rescue its citizens from being executed abroad, rights activists say. https://t.co/od0zip6TqG — by @CK_Mandal",rescue
1,2021-10-27 07:45:00+00:00,kathmandupost,"Security personnel participate in a disaster rescue drill at Patan Durbar Square, Lalitpur on Tuesday. 

Photo by: @Sayami https://t.co/ZoILYXMJYw",rescue
2,2023-04-04 06:03:07+00:00,kathmandupost,"One killed in train accident near The Hague, 30 injured

Rescue teams were seen ferrying away the injured in pre-dawn darkness at the scene of the accident at Voorschoten, a village near The Hague.

https://t.co/xRKPDH1Mfm",rescue
3,2020-07-11 05:53:31+00:00,kathmandupost,"Bodies of seven missing in Barekot landslide in Jajarkot recovered

Five others still missing; rescue works hampered by adverse weather conditions, said police. https://t.co/uiijYVrTFu — by Bhim Bahadur Singh",rescue
4,2018-04-27 03:00:01+00:00,kathmandupost,"#Opinion Local units to the rescue: Depending overly on the security forces for disaster management is not a good idea, by Shrijan Bahadur Malla

#KathmanduPost

https://t.co/neMpus4Xun",rescue
5,2016-02-24 11:47:42+00:00,kathmandupost,"Rainfall in #TaraAir crash site, rescue works hampered
https://t.co/nV4ixjgn01",rescue
6,2017-05-17 04:10:00+00:00,kathmandupost,"Rescue operations can be complicated if there is a disaster during an armed conflict, by Shrijan Bahadur Malla

https://t.co/XuxUOPe45c",rescue
7,2022-09-26 11:03:05+00:00,kathmandupost,"Eight stranded in Manaslu avalanche

Rescue teams are facing difficulties conducting rescue operations due to bad weather in the mountains, said police.

https://t.co/64F83GL7C0 — by @UpUpreti",rescue
8,2021-11-08 11:17:19+00:00,kathmandupost,"A high-altitude search and rescue team recovered the bodies of three French climbers buried under two metres of snow, days after they had gone missing on the slope of a mountain hit by an avalanche in the Everest region. https://t.co/2f2nHt9lmu — by @sangamprasai",rescue
9,2015-04-30 11:39:31+00:00,kathmandupost,No rescue teams have reached Khalte of Dhading districts. The locals are waiting. #NepalQuake  http://t.co/eCuoHrHvnc,rescue
10,2020-05-18 09:37:37+00:00,kathmandupost,"Thailand’s government said on Monday it plans to submit a rehabilitation plan for troubled national carrier Thai Airways International Pcl to a bankruptcy court rather than go ahead with a planned rescue.

https://t.co/MHIICfHgfP",rescue
11,2017-04-21 07:15:00+00:00,kathmandupost,"Rs 1m given to Pokhara wildlife rescue centre

https://t.co/zqoOBdd140",rescue
12,2015-04-26 04:16:13+00:00,kathmandupost,"US, Canada, Russia to assist in rescue; Chinese team arriving with sniffer dogs 
http://t.co/xZHDMUtnNO http://t.co/PVuBUMUT5A",rescue
13,2016-09-02 06:45:48+00:00,kathmandupost,"At least 12 killed, 52 wounded in attack on #Pakistan court: rescue official

https://t.co/QHT5Itb3Aw",rescue
14,2023-01-15 06:45:30+00:00,kathmandupost,"PM Dahal summons emergency cabinet meeting

The prime minister directs the state authorities to carry out immediate rescue and relief operations.

https://t.co/oEGtEZOB38",rescue
15,2016-10-09 03:19:00+00:00,kathmandupost,"Govt plans animal rescue centres

https://t.co/jpZ1FinV6E",rescue
16,2022-12-24 12:48:59+00:00,kathmandupost,"Malaysia finds body of last person unaccounted for in campsite landside

Among the victims were 11 children and 14 women, according to the fire and rescue department.

https://t.co/HmNOZjnEQm",rescue
17,2022-12-14 08:45:00+00:00,kathmandupost,"Climate change will fuel humanitarian crises in 2023: Study

The International Rescue Committee study flagged that the number of people in humanitarian need has skyrocketed in the last decade, approaching 339.2 million versus the 81 million seen in 2014.

https://t.co/OMGWVLg7j4",rescue
18,2021-06-18 05:05:00+00:00,kathmandupost,"Floods, landslides inflict damage and disruptions in various districts

Power and communication outages snag relief and rescue work in Melamchi and Helambu areas.
https://t.co/mBpbnRwTiv — by Anish Tiwari",rescue
19,2020-05-06 04:01:17+00:00,kathmandupost,"EDITORIAL: No time to lose in bringing Nepalis home

It is shameful that it has taken over a month for the government to begin talking about rescue flights.

https://t.co/zkbRLrdE5w",rescue
20,2019-07-28 02:15:00+00:00,kathmandupost,"Days after a new mother in Nuwakot died following a delay in her treatment, the Ministry of Women, Children &amp; Senior Citizens said it is adding more districts to the government’s helicopter rescue programme for pregnant or new mothers. https://t.co/KG6xQLREqQ — by @arjunpoudeltkp",rescue
21,2020-08-18 04:15:00+00:00,kathmandupost,"People from remote districts stranded in Nepalgunj Airport for want of PCR test

Authorities have made PCR test reports mandatory for all air passengers on rescue flights but are unclear about who should bear the expense of the test.

https://t.co/MmrSSpwprw — by Rupa Gahatraj",rescue
22,2019-09-29 04:35:00+00:00,kathmandupost,Authorities rescue children from different childcare homes in poor conditions https://t.co/30yIPtXhiw — by @binodjourno,rescue
23,2018-08-17 19:15:01+00:00,kathmandupost,"Kamala’s mother Sanjamaya heard the girls crying in the septic tank and urged the villagers to come to their rescue.

https://t.co/sf0Gcd2RoT",rescue
24,2016-10-15 03:15:00+00:00,kathmandupost,"Pregnant woman dies for want of treatment; bad weather delayed rescue by helicopter

https://t.co/cMkHF3tXZ7 https://t.co/Zw9IWqUsrD",rescue
25,2017-08-17 05:45:00+00:00,kathmandupost,"Chitwan National Park preparing to rescue the endangered one-horn rhinos that were swept away by Rapti river flood

https://t.co/qknhGjcwjB",rescue
26,2015-05-13 02:35:04+00:00,kathmandupost,"US chopper deployed on a rescue mission missing
http://t.co/AQ0sI8mxOJ http://t.co/X0bwBcV79j",rescue
27,2020-05-21 22:45:00+00:00,kathmandupost,An injured wild elephant died while a rescue team attempted to tranquilise it for treatment in Sindhuli on Wednesday. https://t.co/a0ASb7qYVf — by Raj Kumar Karki,rescue
28,2014-08-21 04:45:47+00:00,kathmandupost,"U.S. military failed in rescue attempt for journalist Foley
http://t.co/Ix5YeSMPx5 http://t.co/k2zKVKmpZa",rescue
