,Date,User,Tweet,Keyword
0,2021-04-28 10:00:41+00:00,kathmandupost,"Wildfire in Rolpa destroys 25 houses

At least 100 households in Hyang, Kareti, Gunam, Sakhi and Sarpal are at risk of getting caught in the fire.

https://t.co/V9O62Xi5mV — by Kashi Ram Dangi",wildfire
1,2022-07-20 14:51:14+00:00,kathmandupost,"Wildfires rage across Europe as climate alarm sounded

https://t.co/JSP961mEny",wildfire
2,2022-06-30 00:15:00+00:00,kathmandupost,"Wildfires in Bajhang highlands destroy biodiversity

Despite frequent wildfires in the uplands of the district, no scientific studies have been conducted in the region. 

https://t.co/2wlZ1Eo09T — by @bajhangimitra",wildfire
3,2016-03-23 09:48:05+00:00,kathmandupost,"Wildfires at dozen community forests yet to be doused

https://t.co/T1bb5qVV8Q",wildfire
4,2016-04-13 04:14:05+00:00,kathmandupost,"#Wildfires: Authorities seek divine help

https://t.co/aiQ2VtIn5U https://t.co/DW7IjjYqPk",wildfire
5,2018-03-08 05:00:00+00:00,kathmandupost,"Wind fuels Pyuthan wildfire out of control
#KathmanduPost
https://t.co/Ks46NnFkXl",wildfire
6,2022-07-17 03:23:40+00:00,kathmandupost,"Wildfires rage in France and Spain as heatwaves sear Europe

https://t.co/YWlsLEl7D6",wildfire
7,2023-01-12 05:15:30+00:00,kathmandupost,A wildfire in Salleri Forest raging on since Tuesday night was brought under control around 1 pm on Wednesday. https://t.co/Lav05UNmwN — by Ramesh Chandra Adhikarki,wildfire
8,2022-02-23 10:00:01+00:00,kathmandupost,"Extreme wildfires are here to stay - and multiply

With climate change triggering droughts and farmers clearing forests, the number of extreme wildfires is expected to increase 30% within the next 28 years.

https://t.co/hJAex8GAXr",wildfire
9,2015-03-13 06:00:12+00:00,kathmandupost,Remote Taplejung village lacks water to fight wildfire http://t.co/7b1tUfj080 http://t.co/BFJ9Gb3QUy,wildfire
10,2023-05-08 23:15:00+00:00,kathmandupost,"Poaching surges as wildfires force animals out of forests

Illegal hunting activities are being reported from Chetanagar, Chandrapur, Gaidatar, Rangapur, and Balari forest areas of Rautahat district.

https://t.co/Cs6JrwhutS — by Shiva Puri",wildfire
11,2020-10-04 08:45:00+00:00,kathmandupost,"Fiction Park: The miracle of untouchable milk

The news of the blacksmith's wife breastfeeding the Brahmin’s son spread across the village like wildfire. https://t.co/SYPEPpm6tI — by Chandra Kumar Phuyal",wildfire
